SpT,Teff,logT,BCv,logL,Mbol,Rsun,Mv,BV,BtVt,GV,BpRp,GRp,M_G,by,UB,VRc,VI,VK,JH,HK,M_J,M_K,KW1,W1W2,W1W3,W1W4,gr,iz,zY,Msun
O3V,44900,4.652,-4.01,5.82,-9.81,13.43,-5.8,-0.33,-0.5616923076923078,-0.08900000000000002,-3.882,-2.316,-10.489999999999998,-0.133,-1.175,-0.12760000000000002,-0.43528571428571433,-1.1905714285714288,-0.1888571428571429,-0.08757142857142847,-4.600000000000001,-4.2522857142857164,0.010374999999999995,-0.045,-0.117,-0.07,-0.62,-20.19499999999999,-15.622307692307707,59.0
O4V,42900,4.632,-3.89,5.65,-9.39,12.13,-5.5,-0.326,-0.5334871794871796,-0.08233333333333334,-3.6620000000000004,-2.1826666666666665,-9.823333333333332,-0.133,-1.16,-0.1262666666666667,-0.42385714285714293,-1.157714285714286,-0.1845714285714286,-0.08471428571428563,-4.4,-4.070857142857145,0.01120833333333333,-0.045,-0.117,-0.07,-0.62,-19.19499999999999,-14.853076923076937,48.0
O5V,41400,4.617,-3.76,5.54,-9.11,11.45,-5.35,-0.323,-0.5123333333333334,-0.07733333333333334,-3.4970000000000003,-2.0826666666666664,-9.323333333333332,-0.133,-1.15,-0.1252666666666667,-0.4152857142857143,-1.1330714285714287,-0.18135714285714288,-0.08257142857142849,-4.250000000000001,-3.9347857142857157,0.011833333333333331,-0.045,-0.117,-0.07,-0.62,-18.44499999999999,-14.276153846153859,43.0
O5.5V,40500,4.607,-3.67,5.44,-8.87,10.71,-5.2,-0.322,-0.49964102564102575,-0.07433333333333333,-3.398,-2.0226666666666664,-9.023333333333332,-0.133,-1.145,-0.12466666666666668,-0.4101428571428572,-1.1182857142857143,-0.17942857142857144,-0.08128571428571421,-4.16,-3.8531428571428585,0.012208333333333331,-0.045,-0.117,-0.07,-0.62,-17.99499999999999,-13.930000000000012,38.0
O6V,39500,4.597,-3.57,5.36,-8.67,10.27,-5.1,-0.321,-0.4855384615384617,-0.07100000000000001,-3.2880000000000003,-1.9559999999999997,-8.689999999999998,-0.132,-1.14,-0.12400000000000001,-0.40442857142857147,-1.1018571428571429,-0.1772857142857143,-0.0798571428571428,-4.0600000000000005,-3.762428571428573,0.012624999999999997,-0.045,-0.117,-0.07,-0.62,-17.49499999999999,-13.545384615384627,35.0
O6.5V,38300,4.583,-3.49,5.27,-8.44,9.82,-4.95,-0.319,-0.4686153846153847,-0.067,-3.156,-1.8759999999999997,-8.29,-0.131,-1.135,-0.12320000000000002,-0.3975714285714286,-1.0821428571428573,-0.17471428571428574,-0.0781428571428571,-3.9400000000000004,-3.6535714285714294,0.013124999999999998,-0.045,-0.117,-0.07,-0.62,-16.894999999999992,-13.083846153846165,31.0
O7V,37100,4.569,-3.41,5.18,-8.21,9.42,-4.8,-0.318,-0.4516923076923078,-0.063,-3.0240000000000005,-1.7959999999999998,-7.889999999999999,-0.13,-1.13,-0.12240000000000001,-0.39071428571428574,-1.0624285714285715,-0.17214285714285715,-0.07642857142857139,-3.8200000000000003,-3.5447142857142864,0.013624999999999998,-0.045,-0.117,-0.07,-0.62,-16.29499999999999,-12.622307692307704,28.0
O7.5V,36100,4.558,-3.33,5.09,-7.98,8.95,-4.65,-0.317,-0.4375897435897437,-0.05966666666666667,-2.914,-1.7293333333333332,-7.556666666666666,-0.13,-1.125,-0.12173333333333335,-0.385,-1.046,-0.17,-0.07499999999999997,-3.72,-3.4540000000000006,0.014041666666666666,-0.045,-0.117,-0.07,-0.62,-15.794999999999993,-12.237692307692319,26.0
O8V,35100,4.545,-3.24,4.99,-7.74,8.47,-4.5,-0.315,-0.42348717948717957,-0.05633333333333334,-2.8040000000000003,-1.6626666666666665,-7.223333333333333,-0.129,-1.12,-0.12106666666666668,-0.3792857142857143,-1.0295714285714286,-0.16785714285714287,-0.07357142857142855,-3.62,-3.363285714285715,0.014458333333333332,-0.045,-0.117,-0.07,-0.62,-15.294999999999995,-11.853076923076934,23.6
O8.5V,34300,4.535,-3.18,4.91,-7.53,8.06,-4.35,-0.314,-0.4122051282051283,-0.053666666666666675,-2.716,-1.609333333333333,-6.956666666666666,-0.128,-1.115,-0.12053333333333334,-0.3747142857142857,-1.0164285714285715,-0.16614285714285715,-0.07242857142857141,-3.54,-3.290714285714286,0.014791666666666667,-0.045,-0.117,-0.07,-0.62,-14.894999999999994,-11.545384615384625,21.9
