seqn, name         ,            identifier             ,typ,     ICRS_J2000                    ,      Ecl_J2000                    ,      Gal_J2000                    ,       pm       ,   plx   ,   radvel   ,  MagU   ,  MagB   ,  MagV   ,  MagR   ,  MagG   ,  MagI   ,  MagJ   ,  MagH   ,  MagK   ,  Magu   ,  Magg   ,  Magr   ,  Magi   ,  Magz   ,  spec_type    ,        morph_type         ,      ang_size       ,nparents,nchildren,nsiblings,nbib,nnotes
1   ,PNG 000.0-06.8,PN H 1-62                          ,PN ,273.3248348706300 -32.3285847991300,272.8434579587608 -08.9220997602572,359.9996787626107 -06.8504448698737,  -3.681 -3.597 ,0.0475   ,-86         ,         ,12       ,14.00    ,         ,14.355777,         ,13.086   ,12.969   ,12.378   ,         ,         ,         ,         ,         ,WC10-11        ,                           ,                     ,0       ,0        ,0        ,  51,   0
2   ,PNG 000.1+02.6,PN Al 2-J                          ,PN ,263.897929 -27.401803              ,264.570977 -04.077432              ,000.130207 +02.687244              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  19,   1
3   ,PNG 000.1+04.3,PN H 1-16                          ,PN ,262.3476201277062 -26.4349372196228,263.1412199175435 -03.1776534196019,000.1902923269339 +04.3730626526365,                ,         ,55.6        ,         ,16.9     ,15.63    ,14.25    ,18.4354  ,15.37    ,13.142   ,12.547   ,11.638   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  52,   1
4   ,PNG 000.1+17.2,PN PC 12                           ,PN ,250.9740996507800 -18.9533197900400,252.0109659645914 +03.3056902161527,000.1660102716323 +17.2487482586010,  -3.172 -2.372 ,0.0689   ,-60.3       ,         ,         ,         ,         ,15.170278,         ,13.332   ,13.244   ,12.519   ,         ,         ,         ,         ,         ,O              ,                           ,0.030 0.030          ,0       ,0        ,0        ,  82,   0
5   ,PNG 000.1-01.1,PN M 3-43                          ,PN ,267.60142 -29.42181                ,267.89941 -06.00000                ,000.12397 -01.14527                ,                ,         ,-7.3        ,         ,         ,         ,         ,         ,         ,         ,12.531   ,12.015   ,         ,         ,         ,         ,         ,               ,                           ,0.063 0.063          ,0       ,0        ,0        ,  53,   0
6   ,PNG 000.1-02.3,PN Bl 3-10                         ,PN ,268.835571 -29.960036              ,268.984615 -06.524844              ,000.204724 -02.342179              ,                ,         ,-109.0      ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  35,   1
7   ,PNG 000.1-05.6,PN H 2-40                          ,PN ,272.12817 -31.60981                ,271.83097 -08.18403                ,000.15439 -05.61613                ,                ,         ,-70         ,         ,         ,17.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  38,   0
8   ,PNG 000.2-01.9,PN M 2-19                          ,PN ,268.4402022156499 -29.7297153816300,268.6373344225757 -06.2977965883787,000.2305130587372 -01.9298855893528,   -1.836 0.984 ,         ,-61.2       ,         ,         ,16.976   ,         ,16.879965,15.973   ,         ,         ,         ,         ,         ,         ,         ,         ,O(H)6-8III-V   ,                           ,0.083 0.083          ,0       ,0        ,0        ,  86,   0
9   ,PNG 000.2-04.6,WRAY 16-363                        ,PN ,271.18362 -31.04650                ,271.02307 -07.61141                ,000.26022 -04.63779                ,                ,         ,117         ,         ,         ,17.00    ,         ,         ,         ,14.076   ,13.336   ,13.052   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  25,   0
10  ,PNG 000.3+06.9,PN G000.3+06.9                     ,PN ,260.091521 -24.864508              ,261.013849 -01.733770              ,000.366339 +06.936512              ,                ,         ,9           ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  15,   0
11  ,PNG 000.3+12.2,IC 4634                            ,PN ,255.3899236562100 -21.8258376433100,256.4561633102790 +00.9291627746141,000.3618874137555 +12.2146670147114,  -1.198 -5.124 ,0.3703   ,-34.4       ,         ,12.3     ,11.3     ,         ,13.858418,         ,12.091   ,12.170   ,11.441   ,         ,         ,         ,         ,         ,O3If           ,                           ,0.12100000 0.11814500,0       ,0        ,0        , 270,   0
12  ,PNG 000.3-02.8,PN M 3-47                          ,PN ,269.430696 -30.041642              ,269.503893 -06.603325              ,000.392497 -02.829107              ,                ,         ,-16.0       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  25,   0
13  ,PNG 000.3-04.6,PN M 2-28                          ,PN ,271.26137 -30.97167                ,271.09094 -07.53715                ,000.35831 -04.65978                ,                ,         ,-29         ,         ,         ,15.50    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.073 0.073          ,0       ,0        ,0        ,  50,   0
14  ,PNG 000.4-01.9,PN M 2-20                          ,PN ,268.60550 -29.60228                ,268.78049 -06.16888                ,000.41319 -01.98938                ,                ,         ,58.7        ,         ,         ,16.1     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,[WC5/6]        ,                           ,                     ,0       ,0        ,0        ,  72,   0
15  ,PNG 000.4-02.9,PN M 3-19                          ,PN ,269.58067 -30.01092                ,269.63449 -06.57215                ,000.48395 -02.92637                ,                ,         ,141.7       ,         ,         ,15.50    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.117 0.117          ,0       ,0        ,0        ,  62,   0
16  ,PNG 000.5-01.6,PN Al 2-Q                          ,PN ,268.354333 -29.285758              ,268.557191 -05.854703              ,000.575608 -01.640563              ,                ,         ,-67.0       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  21,   0
17  ,PNG 000.5-03.1,PN KFL 1                           ,PN ,269.814937 -30.046431              ,269.838742 -06.607238              ,000.554008 -03.120036              ,                ,         ,-52.8       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  26,   0
18  ,PNG 000.6-01.3,PN Bl 3-15                         ,PN ,268.14946 -29.11072                ,268.37531 -05.68186                ,000.63562 -01.39762                ,                ,         ,            ,         ,         ,         ,         ,         ,         ,12.179   ,10.919   ,10.539   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  31,   0
19  ,PNG 000.6-02.3,PN H 2-32                          ,PN ,269.1013858810100 -29.6352058144900,269.2143539424168 -06.1983598466524,000.6018050418314 -02.3784757146643,  -8.750 -8.136 ,0.111    ,128.7       ,         ,         ,15.60    ,         ,15.090574,         ,13.804   ,13.427   ,12.569   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  37,   0
20  ,PNG 000.7+03.2,PN M 4-5                           ,PN ,263.72800 -26.59925                ,264.38485 -03.28212                ,000.72549 +03.24725                ,                ,         ,-175.1      ,         ,         ,17.50    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  66,   0
21  ,PNG 000.7+04.7,PN H 2-11                          ,PN ,262.3581714493800 -25.8186681193800,263.1179886004774 -02.5617483880362,000.7124580827887 +04.7031049877727,                ,         ,40          ,         ,         ,         ,         ,19.091923,         ,13.915   ,13.405   ,12.227   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  61,   0
22  ,PNG 000.7-02.7,PN M 2-21                          ,PN ,269.53992 -29.73892                ,269.59809 -06.30026                ,000.70250 -02.76028                ,                ,         ,-164.5      ,         ,         ,         ,         ,         ,         ,13.200   ,13.077   ,12.016   ,         ,         ,         ,         ,         ,               ,                           ,0.050 0.050          ,1       ,0        ,0        ,  82,   0
23  ,PNG 000.7-03.7,PN M 3-22                          ,PN ,270.580158 -30.240383              ,270.504768 -06.802103              ,000.711931 -03.791354              ,                ,         ,-77         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.107 0.107          ,0       ,0        ,0        ,  61,   0
24  ,PNG 000.7-07.4,PN M 2-35                          ,PN ,274.40500 -31.94633                ,273.77901 -08.56480                ,000.76853 -07.48352                ,                ,         ,-30         ,         ,14.3     ,15.00    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  33,   0
