# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sun Jul  3 13:53:27 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.0152 0.01508 9.00000 0.0900000036 1.0816895962    0.090 -3.384  3.3657  5.191    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.43e-17      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.230 11.082 10.480 10.214 9.751 9.701 9.640 9.537 8.906 8.879 8.826 9.921 9.716 9.466 9.096
0.0152 0.01508 9.00000 0.1000000015 1.1711064577    0.100 -3.222  3.3893  5.170    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.24e-17      0.00 7.091e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.826 10.679 10.077 9.809 9.348 9.295 9.234 9.132 8.501 8.474 8.421 9.517 9.310 9.061 8.691
0.0152 0.01508 9.00000 0.1200000122 1.3193155527    0.120 -2.975  3.4228  5.135    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.208 10.074 9.474 9.202 8.751 8.692 8.632 8.535 7.911 7.884 7.840 8.915 8.705 8.468 8.100
0.0152 0.01508 9.00000 0.1229623184 1.3385313749    0.123 -2.948  3.4259  5.131    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.140 10.015 9.414 9.141 8.697 8.634 8.575 8.481 7.860 7.834 7.795 8.857 8.647 8.416 8.050
0.0152 0.01508 9.00000 0.1400000006 1.4384527206    0.140 -2.794  3.4430  5.102    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.755 9.670 9.070 8.796 8.384 8.310 8.254 8.175 7.572 7.547 7.535 8.530 8.320 8.123 7.762
0.0152 0.01508 9.00000 0.1493837237 1.4869687557    0.149 -2.726  3.4495  5.088    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.585 9.515 8.915 8.642 8.242 8.164 8.110 8.035 7.440 7.415 7.414 8.383 8.174 7.989 7.629
0.0152 0.01508 9.00000 0.1599999964 1.5372931957    0.160 -2.653  3.4565  5.073    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-16      0.00 7.088e-01 2.759e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.403 9.352 8.751 8.480 8.091 8.009 7.956 7.885 7.295 7.273 7.286 8.226 8.018 7.844 7.485
0.0152 0.01508 9.00000 0.2000000030 1.6938791275    0.200 -2.438  3.4752  5.030    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.14e-16      0.00 7.087e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.865 8.860 8.258 7.994 7.637 7.546 7.496 7.436 6.862 6.848 6.894 7.757 7.553 7.409 7.052
0.0152 0.01508 9.00000 0.2500000000 1.8403258324    0.250 -2.236  3.4916  4.991    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-16      0.00 7.086e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.360 8.397 7.794 7.538 7.208 7.113 7.063 7.007 6.445 6.446 6.522 7.314 7.118 6.994 6.634
0.0152 0.01508 9.00000 0.3135805130 1.9793373346    0.314 -2.035  3.5051  4.941    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.02e-16      0.00 7.089e-01 2.759e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.856 7.924 7.319 7.072 6.766 6.674 6.626 6.576 6.024 6.037 6.129 6.865 6.678 6.571 6.214
0.0152 0.01508 9.00000 0.3194212019 1.9902480841    0.319 -2.016  3.5062  4.935    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.31e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.810 7.881 7.275 7.028 6.726 6.633 6.585 6.536 5.985 5.999 6.092 6.823 6.638 6.532 6.175
0.0152 0.01508 9.00000 0.3466122150 2.0378298759    0.347 -1.938  3.5118  4.916    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.59e-16      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.616 7.700 7.092 6.849 6.557 6.467 6.420 6.372 5.826 5.846 5.944 6.651 6.471 6.371 6.016
0.0152 0.01508 9.00000 0.3500000238 2.0434176922    0.350 -1.929  3.5125  4.913    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.75e-16      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.593 7.679 7.070 6.828 6.537 6.448 6.401 6.353 5.808 5.828 5.927 6.631 6.452 6.353 5.998
0.0152 0.01508 9.00000 0.4000000358 2.1185026169    0.400 -1.781  3.5233  4.866    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.221 7.334 6.719 6.483 6.213 6.131 6.084 6.039 5.504 5.536 5.644 6.300 6.135 6.045 5.693
