 #  ,typed ident ,            identifier             ,         typ          ,                                                                  all types                                                                  ,     coord1 (ICRS|J2000/2000)      ,       pm       ,   plx   ,   radvel   ,  Mag B  ,  Mag V  ,  Mag I  ,  spec. type   ,        morph. type        ,      ang. size      ,#parents,#children,#siblings,#bib
1   ,PK 118+08.2 ,PN A66 86                          ,PlanetaryNeb          ,PlanetaryNeb                                                                                                                                 ,000.379058 +70.708314              ,                ,         ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  24
2   ,PK 119+06.1 ,PN A66 1                           ,PlanetaryNeb          ,PlanetaryNeb                                                                                                                                 ,003.2292 +69.1733                  ,                ,         ,            ,         ,         ,         ,               ,                           ,0.783 0.783          ,0       ,0        ,0        ,  31
3   ,PK 120+09.1 ,NGC 40                             ,PlanetaryNeb          ,WolfRayet*|EmLine*|PlanetaryNeb|Variable*|Star|Infrared|Radio                                                                                ,003.2542375405200 +72.5219537052000,  -7.260 -1.848 ,0.5612   ,-20.50      ,11.63    ,11.46    ,         ,[WC8]          ,                           ,0.10000000 0.76670170,0       ,0        ,0        , 602
4   ,PK 118-08.1 ,PN Vy 1-1                          ,PlanetaryNeb          ,PlanetaryNeb|PlanetaryNeb|Star|Galaxy|Infrared                                                                                               ,004.6757217906400 +53.8721607286100,   0.943 -0.160 ,0.1962   ,-50.4       ,         ,         ,         ,[WC]           ,                           ,0.257 0.216          ,0       ,0        ,0        , 126
5   ,PK 119+00.1 ,PN BV 1                            ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,005.001875 +62.984211              ,                ,         ,-71.9       ,         ,         ,         ,               ,                           ,0.693 0.693          ,0       ,0        ,0        ,  54
6   ,PK 119-06.1 ,PN Hu 1-1                          ,PlanetaryNeb          ,PlanetaryNeb|Variable*|PlanetaryNeb|Star|Galaxy|Infrared|Radio|Variable*_Candidate                                                           ,007.064312 +55.965133              ,                ,         ,-53.7       ,         ,         ,         ,               ,                           ,0.217 0.199          ,0       ,0        ,0        , 159
7   ,PK 120-05.1 ,SH 2-176                           ,PlanetaryNeb          ,PlanetaryNeb|HIIReg                                                                                                                          ,007.9729 +57.3758                  ,                ,         ,-37.0       ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  48
8   ,PK 108-76.1 ,PN BoBn 1                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,009.31679 -13.71628                ,                ,         ,196.0       ,16       ,         ,         ,               ,                           ,                     ,0       ,0        ,0        , 129
9   ,PK 121+03.1 ,PN G121.6+03.5                     ,PlanetaryNeb          ,PlanetaryNeb|Infrared                                                                                                                        ,009.725742 +66.396842              ,                ,         ,-77.3       ,         ,         ,         ,               ,                           ,0.317 0.317          ,0       ,0        ,0        ,  25
10  ,PK 121+00.1 ,PN BV 2                            ,PlanetaryNeb          ,PlanetaryNeb|HIIReg|PlanetaryNeb|RefNeb|Star|Infrared|ISM                                                                                    ,010.090058 +62.859522              ,                ,         ,-39.0       ,         ,21.5     ,         ,               ,                           ,                     ,0       ,0        ,0        ,  33
11  ,PK 122-04.1 ,PN A66 2                           ,PlanetaryNeb          ,PlanetaryNeb|PlanetaryNeb|Star|Infrared                                                                                                      ,011.394492 +57.959689              ,                ,         ,-41.8       ,         ,         ,         ,               ,                           ,0.517 0.517          ,0       ,0        ,0        ,  61
12  ,PK 118-74.1 ,NGC 246                            ,PlanetaryNeb          ,PlanetaryNeb|blue|blue|**|WhiteDwarf|Star|Infrared|Radio|UV|X                                                                                ,011.7639251423400 -11.8719364239100, -16.914 -9.240 ,1.7993   ,-15.70      ,11.52    ,11.76    ,         ,PG1159         ,                           ,3.733 3.733          ,0       ,0        ,0        , 466
13  ,PK 125-47.1 ,PG 0057+155                        ,HotSubdwarf           ,HotSubdwarf|HotSubdwarf|HIIReg|blue|PlanetaryNeb|blue|Star|Infrared|UV                                                                       ,014.9861140415600 +15.7371500790500,   35.387 5.499 ,3.0997   ,22          ,12.02    ,12.32    ,         ,sdB0.2VIIIpHe8 ,                           ,4.500 4.500          ,0       ,0        ,0        , 119
14  ,PK 124-07.1 ,PN WeSb 1                          ,PlanetaryNeb          ,PlanetaryNeb|PlanetaryNeb                                                                                                                    ,015.222129 +55.063303              ,                ,         ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  15
15  ,PK 124+02.1 ,PN G124.0+02.9                     ,PlanetaryNeb          ,PlanetaryNeb|Star|Galaxy|Infrared                                                                                                            ,015.6018958003700 +65.7756923677800,                ,         ,            ,         ,         ,         ,               ,                           ,0.277 0.227          ,0       ,0        ,0        ,   9
16  ,PK 124+10.1 ,PN HDW 1                           ,PlanetaryNeb          ,HIIReg|WhiteDwarf|PlanetaryNeb|Star|Infrared                                                                                                 ,016.7817639208500 +73.5565132442800, 18.860 -11.545 ,3.1192   ,            ,16.308   ,16.439   ,16.482   ,DA             ,                           ,                     ,0       ,0        ,0        ,  44
17  ,PK 126+03.1 ,PN K 3-90                          ,PlanetaryNeb          ,PlanetaryNeb|PlanetaryNeb|Star|Galaxy|Infrared                                                                                               ,021.2442334715700 +65.6433605957000,   -2.254 0.368 ,0.4049   ,-49.4       ,         ,         ,         ,               ,                           ,0.177 0.163          ,0       ,0        ,0        ,  42
18  ,PK 128-04.1 ,SH 2-188                           ,PlanetaryNeb          ,WhiteDwarf|PlanetaryNeb|HIIReg|Star|ISM|Radio                                                                                                ,022.6382410731300 +58.4139793016300,   5.696 -4.181 ,1.0599   ,-26.0       ,17.424   ,17.447   ,17.376   ,DAO.6          ,                           ,                     ,0       ,0        ,0        ,  99
19  ,PK 130-11.1 ,PN M 1-1                           ,PlanetaryNeb          ,PlanetaryNeb|PlanetaryNeb|Star|Galaxy|Infrared                                                                                               ,024.3306766407800 +50.4698177970100,  -1.618 -0.262 ,0.1439   ,-38.0       ,13.07    ,13.91    ,         ,               ,                           ,0.190 0.156          ,0       ,0        ,0        , 139
20  ,PK 129-05.1 ,PN G129.6-05.6                     ,PlanetaryNeb          ,PlanetaryNeb|Star                                                                                                                            ,025.024429 +56.581872              ,                ,         ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  10
21  ,PK 130-10.1 ,M 76                               ,PlanetaryNeb          ,PlanetaryNeb|PlanetaryNeb|WhiteDwarf|Star|Infrared|Radio                                                                                     ,025.5818990534200 +51.5754263805700,   2.586 -2.959 ,0.2945   ,-23.6       ,         ,17.48    ,17.69    ,DOZ            ,                           ,2.307 2.307          ,0       ,0        ,0        , 366
22  ,PK 129-02.1 ,PN G129.2-02.0                     ,PlanetaryNeb          ,PlanetaryNeb                                                                                                                                 ,025.658333 +60.162367              ,                ,         ,            ,         ,         ,         ,               ,                           ,3.233 3.233          ,0       ,0        ,0        ,  19
23  ,PK 131-05.1 ,PN G131.4-05.4                     ,PlanetaryNeb          ,PlanetaryNeb|Star                                                                                                                            ,028.264300 +56.404753              ,                ,         ,-59.0       ,10.3     ,10.3     ,         ,               ,                           ,                     ,0       ,0        ,0        ,  32
24  ,PK 130+01.1 ,IC 1747                            ,PlanetaryNeb          ,EmLine*|PlanetaryNeb|Star|Galaxy|Infrared|Radio                                                                                              ,029.3987080012700 +63.3217909246600,   -0.877 1.019 ,0.262    ,-62.7       ,15.8     ,15.4     ,         ,[WC4]          ,                           ,0.283 0.278          ,0       ,0        ,0        , 257
25  ,PK 148-48.1 ,EGB 2                              ,PlanetaryNeb_Candidate,PlanetaryNeb|Star|Infrared|PlanetaryNeb_Candidate                                                                                            ,029.4961931527800 +10.9439720071600,   -7.001 5.348 ,1.1261   ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,   5
26  ,PK 129+04.1 ,PN K 3-91                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Galaxy                                                                                                                     ,029.6511228838900 +66.5662492734000,                ,         ,            ,         ,         ,         ,               ,                           ,0.287 0.229          ,0       ,0        ,0        ,  34
27  ,PK 133-08.1 ,V* V471 Per                        ,EclBin                ,EclBin|Variable*|Symbiotic*|PlanetaryNeb|EmLine*|Star|Infrared                                                                               ,029.7069360661800 +52.8967952218200,   0.459 -2.286 ,0.3829   ,-22.91      ,14.06    ,13.08    ,         ,G2Ib           ,                           ,                     ,0       ,0        ,0        , 170
28  ,PK 130+03.1 ,PN K 3-92                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared|UV                                                                                                                ,030.921546 +64.960522              ,                ,         ,-61.7       ,         ,         ,         ,               ,                           ,0.217 0.217          ,0       ,0        ,0        ,  43
29  ,PK 131+02.1 ,PN A66 3                           ,PlanetaryNeb          ,PlanetaryNeb|HIIReg|Star|Infrared                                                                                                            ,033.0277646754200 +64.1506480170600,  -1.156 -0.009 ,0.4359   ,            ,         ,         ,         ,               ,                           ,1.000 1.000          ,0       ,0        ,0        ,  51
30  ,PK 132+04.1 ,PN K 3-93                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Galaxy                                                                                                                     ,036.625063 +65.798081              ,                ,         ,            ,         ,         ,         ,               ,                           ,0.140 0.140          ,0       ,0        ,0        ,  26
31  ,PK 144-15.1 ,PN A66 4                           ,PlanetaryNeb          ,PlanetaryNeb|Star|Galaxy|Infrared                                                                                                            ,041.3496 +42.5508                  ,                ,         ,0           ,15.6     ,         ,         ,               ,                           ,0.333 0.333          ,0       ,0        ,0        ,  44
