GroupID,object,spt,npoints,median_mjd,pseudomag,ra_mean,dec_mean,ra_median,dec_median,ra_std,dec_std,ra_skew,dec_skew,ra_kurtosis,dec_kurtosis,semi_major_axis,semi_minor_axis,position_angle,bbox_width,bbox_height,bbox_diagonal,spatial_density,time_span,min_mjd,max_mjd,bbox,EC,CP,LP,I2,P3,HAM,EGG,SCI,CAL
0,HD147513;HD-147513;HIP80337;HD 147513;;;;;;;,G2;G;G2V;G3/G5V;;;;;;;,141,58655.22799458333,5.671669641712602,246.00552226900712,-39.193360425531914,246.00530888,-39.19333,5.5063926849951415,4.189038230144198,0.6039317688620788,-1.2589846138056766,0.3940857473730599,2.140028110551847,13.658103381872715,10.011783385857164,76.22331819201511,21.70800000000952,31.049999999981992,37.885878160592966,0.20918844674465678,2435765.9300532104,52798.23688577546,59467.0005546412,"[(-39.19746, 246.00247388), (-39.19746, 246.01109888), (-39.19143, 246.01109888), (-39.19143, 246.00247388)]",103,32,0,6,94,94,0,141,0
1,HD100623;;;;;;;;;;,K0;K0V;;;;;;;;;,24,52811.004613703706,6.209215825779829,173.61955816833333,-32.830315416666664,173.618371525,-32.830045,7.222462568081424,4.270991301293719,0.9033087265920163,-0.4339363052604569,-0.7317160476140354,-0.8801880850751469,19.61255647315917,6.094749711993145,117.10470012541275,14.39999999999202,22.704984000006334,26.886358965845744,0.07340532222648233,2013955.4197598377,52802.08520934028,58315.99464057871,"[(-32.83286, 173.617865), (-32.83286, 173.62417194), (-32.82886, 173.62417194), (-32.82886, 173.617865)]",24,0,0,0,20,20,0,24,0
2,HD108147;;;;;;;;;;,F9;F8;F8/G0V;;G0V;;;;;;,80,52810.01329457176,7.10374087197923,186.441889314875,-64.02341237499999,186.44183097,-64.02343,11.170056627478607,5.593198826373115,0.45011779924940765,-1.9934727766114846,-0.3265542200826741,6.324456348418753,27.80187535254653,12.726958379651014,78.22430684668043,33.91199999996957,49.52498399992464,60.02289383385916,0.0476334721287323,2142525.3665338787,52802.12670594908,58668.04146716435,"[(-64.03003, 186.43613694), (-64.03003, 186.44989388), (-64.02061, 186.44989388), (-64.02061, 186.43613694)]",80,0,0,0,77,77,0,80,0
3,HD114613;HR4979;;;;;;;;;,G3;G3V;G2V;;;;;;;;,749,53231.96884045139,4.778696674997784,198.01173528735646,-37.803674806408544,198.01117694,-37.80323,9.057470151330024,6.685347525803892,1.1048083271422977,-1.321351822575275,1.933819223369988,1.6575045497082366,22.8246624629031,15.436451056231435,71.16048520611575,33.444000000000074,50.39596799990704,60.48350788973519,0.44439361604910005,2111561.0517939245,52802.13573554398,58583.27482327547,"[(-37.80999, 198.006355), (-37.80999, 198.02035388), (-37.8007, 198.02035388), (-37.8007, 198.006355)]",746,0,0,3,747,747,0,749,0
4,HD114853;;;;;;;;;;,G2;G2V;;;;;;;;;,149,53515.10863236111,7.5629945789854425,198.4671724177181,-45.1869588590604,198.46703194,-45.187,5.241376860462657,5.068834845525055,0.3572891192702169,0.7398614409502231,0.009670632975931959,2.8774173315912437,13.37694965880897,11.81395108639036,52.85242902423085,33.659999999991896,27.47199600001977,43.4477406112741,0.16113205361923338,1886480.4847073182,52802.13915055555,57967.04123052083,"[(-45.19152, 198.463615), (-45.19152, 198.47124611), (-45.18217, 198.47124611), (-45.18217, 198.463615)]",149,0,0,0,145,144,0,149,0
5,OGLE-TR-10;;;;;;;;;;,V-I=0.85;;;;;;;;;;,4,52808.27693059028,,267.8677422875,-29.877267500000002,267.867349025,-29.877295,3.537285623136515,2.2611085776696425,1.010626680492058,0.058689900760091,-0.7967991976970299,-1.840068858846012,8.998787679297418,4.961169697695597,109.06935315140323,4.608000000004608,7.541999999989457,8.838293274149905,0.11509620200953338,2927.1488793676563,52802.24236878472,52810.25646564815,"[(-29.87788, 267.86708805), (-29.87788, 267.86918305), (-29.8766, 267.86918305), (-29.8766, 267.86708805)]",4,0,0,0,0,0,0,4,0
6,HIP-85042;HD157347;HIP85042;HD157347_STD;HD 157347;;;;;;,G2V;G5;G2;G5IV;G5V;G3;;;;;,227,53811.40990125,6.726453652012799,260.71413586207046,-2.388749207048458,260.71409888,-2.38868,5.0379439833854365,4.2615375378770635,-0.12858046048055094,-0.22075961365825597,-0.12045090966789918,2.560766706866625,12.697507314689407,9.981529159361434,67.30419806358829,37.18800000000062,25.200000000018008,44.92201402431723,0.24222696859013446,2657174.9166827346,52802.305404872684,60077.253842060185,"[(-2.39466, 260.71041388), (-2.39466, 260.71741388), (-2.38433, 260.71741388), (-2.38433, 260.71041388)]",227,0,0,0,224,224,0,227,0
7,HD163153;;;;;;;;;;,G5;;;;;;;;;;,2,52809.31008568287,,268.738834025,-7.73593,268.738834025,-7.73593,1.0995651868972744,0.8654987001746128,0.0,-7.836896514304086e-12,-2.0,-2.0,,,,1.2240000000016238,1.5550200000234327,1.9789550779330114,1.0507819372598326,2555.830149157793,52802.31260409722,52809.31008568287,"[(-7.7361, 268.73861805), (-7.7361, 268.73905), (-7.73576, 268.73905), (-7.73576, 268.73861805)]",2,0,0,0,0,0,0,2,0
8,HD162396;;;;;;;;;;,F8;;F8V;;;;;;;;,103,53515.28551177083,5.7710721676178,268.2195491734951,-41.99634504854369,268.21923694,-41.99629,6.265471784519195,4.792956851556962,0.019464758690897956,0.5287965599901565,-1.0003207484196834,3.497381533449425,15.764917856409516,11.148037505393642,70.8664238875389,33.408000000014226,24.0229800000634,41.14848760385242,0.1283393596349142,686571.0864192164,52802.32078725695,54682.04997663194,"[(-42.00099, 268.216305), (-42.00099, 268.22297805), (-41.99171, 268.22297805), (-41.99171, 268.216305)]",103,0,0,0,92,76,16,103,0
9,HD157338;;;;;;;;;;,G0;G0/G1V;;;;;;;;;,39,52809.97742403935,7.141488240264511,261.03647152,-34.798436410256414,261.03599888,-34.7986,8.154018702863006,8.230388388179467,0.2977671366477437,-0.1835065979315384,-0.7837387613387792,-0.30837785001369644,23.3462182651117,16.0968919689889,-135.75114650110206,34.70399999999074,32.53003200006788,47.56648607922176,0.03454622377458952,1303939.1820673107,52802.32586353009,56372.31677952546,"[(-34.80431, 261.03224888), (-34.80431, 261.041285), (-34.79467, 261.041285), (-34.79467, 261.03224888)]",39,0,0,0,30,30,0,39,0
