HD128621;HD128620;ALF CEN B;ALPHA-CENTAURI;HD128620A;HR5459;HR5460;ALPHACENB;;;ALPHA-CEN,27812
HD10700;TAU-CET;HR509;TAU CET;TAUCETI;TAU-CETI;TAUCET;HD-10700;HD 10700;;,13472
HD039060;HD39060;BETA-PIC;BETA PIC;HIP 27321;BETA_PIC;BET-PIC;;;;,9133
HD20794;E ERI;;;;;;;;;,7922
HD190248;HD-190248;DELTA-PAV;DEL-PAV;HR-7665;;;;;;,6027
18_SCO;18 SCO;HD146233;18SCO;HIP-79672;HIP79672;HD 146233;;;;,5769
PROCYON;ALF_CMI;;;;;;;;;,5713
ALP-CIR;HD128898;HD-128898-V;HD-128898;;;;;;;,5212
HD121370;ETA-BOO;;;;;;;;;,5176
EPS-INDI-A;HD209100;EPS IND;HR8387;;EPSIND; ;;;;,5150
HD1581;ZET TUC;HR77;ZETTUC;;;;;;;,4227
HD17051;IOT-HOR;HR810;IOTHOR;;;;;;;,3879
BETA-HYI;HR98;HD2151;BET-HYI;HD-2151;BETHYI;;;;;,3089
HD160691;HD-160691;MUARA;;;;;;;;,3047
HD203608;;;;;;;;;;,2626
HD188512;BETA-AQL;;;;;;;;;,2398
HD210302;;;;;;;;;;,2183
HD192310;;;;;;;;;;,1845
HD19994;HD 19994;94 CET;;;;;;;;,1832
HD 165341A;HD 165341B;;;;;;;;;,1797
HD-209625;HD209625;;;;;;;;;,1762
HD63077;;;;;;;;;;,1693
HD216956;ALPHA-PSA;ALF-PSA;;;;;;;;,1618
HD139211;;;;;;;;;;,1521
HD85512;HD 85512;HD  85512;;;;;;;;,1404
HD115617;61VIR;61 VIR;LHS349_G5V;;;;;;;,1307
HD49933;HD049933;;;;;;;;;,1296
HD23249;HR1136;DELERI;;;;;;;;,1263
HD 199288;HD199288;;;;;;;;;,1214
HD48915;SIRIUS;;;;;;;;;,1197
HD46375;HD46735;;;;;;;;;,1167
HD-101065;HD101065_8_0;PRZYBYLSKIS;HD101065;HD_101065_F8_8.0;;;;;;,1136
BETCEN;HD-122451;BET-CEN;;;;;;;;,1135
HD167858;;;;;;;;;;,1084
HD65907A;HD65907;HD  65907;HR3454;;;;;;;,1054
HD22049;EPSILON ERIDANI;HD-22049;HR1084;EPSILON-ERIDANI;EPSERI;;;;;,1000
HD188228;;;;;;;;;;,887
HD109200;;;;;;;;;;,876
HD26965;HD26965A;OMI02 ERI;GL166C;;;;;;;,871
HD154577;;;;;;;;;;,860
GJ887;GJ-887;HD217987;GJ 887;HD 217987;GL887;;;;;,772
HD69830;HR3259;;;;;;;;;,770
HD114613;HR4979;;;;;;;;;,749
HD136352;;;;;;;;;;,724
HD72673;HD 72673;HD72673_STD;;;;;;;;,691
HD189567;;;;;;;;;;,663
HD102365;HR4523;HD102364;;;;;;;;,620
ALPHADOR;ALF-DOR;HD29305;;;;;;;;,618
HD207129;HR8323;HD 207129;;;;;;;;,569
HD59468;HD 59468;;;;;;;;;,560
HD39091;;;;;;;;;;,557
PROXIMA;GL551;PROXIMA-CENTAURI;NAME PROXIMA CENTAURI;GJ551;PROXIMA CENTAURI;ALF CEN B;;;;,556
HD1461;HD   1461;;;;;;;;;,541
HD172555;;;;;;;;;;,537
GJ588;GJ-588;GL588;;;;;;;;,536
HD40307;;;;;;;;;;,487
HD144628;;;;;;;;;;,465
HD67523;HR-3185;;;;;;;;;,448
HD4308;HD221356;HD   4308;HD 290498;;;;;;;,433
GJ-570B;GJ570B;HR5568;RVSTD;HD-131977;GJ570A;HD131977;;;;,419
GJ367;GL367;;;;;;;;;,415
WASP-189;SW1502-0301;;;;;;;;;,414
HD20807;ZET02RET;HR1010;HD 20807;ZET2RET;;;;;;,410
HR-4731;ACRUX;HD-108248;;;;;;;;,410
HD146624;;;;;;;;;;,403
GJ9827;C12_9858;BD-025958;;;;;;;;,396
HD 33793;GL191;GJ-191;GJ 191;;;;;;;,390
HD44195;;;;;;;;;;,387
HD109536;;;;;;;;;;,386
HD215152;;;;;;;;;;,384
HD96700;;;;;;;;;;,384
GL674;GJ-674;GJ674;GJ 674;;;;;;;,382
HR5987;;;;;;;;;;,375
HD45184;HD  45184;HD-45184;HIP30503;;;;;;;,375
EPIC211311380;;;;;;;;;;,370
HD 176986;HD176986;;;;;;;;;,365
HD   4915;HD4915;;;;;;;;;,358
HR4468;;;;;;;;;;,358
HD68978A;;;;;;;;;;,357
HD-104237;DX_CHA;;;;;;;;;,357
HD134060;;;;;;;;;;,353
GL699;GJ-699;BARNARDS-STAR;NAME BARNARDS STAR;GJ699;;;;;;,353
KELT-11;;;;;;;;;;,344
GAMCEN;CCDM-J12415-4858AB;;;;;;;;;,340
HD10180;;;;;;;;;;,337
ACHERNAR;HD-10144;HR472;ALPERI;;;;;;;,335
GL54.1;GJ-54.1;;;;;;;;;,334
HD-24712;HD24712;HR-1217;HR1217;;;;;;;,329
HD 161098;HD161098;;;;;;;;;,324
HD189631;;;;;;;;;;,323
GL273;GJ-273;;;;;;;;;,318
HD16417;HD-16417;;;;;;;;;,310
51PEG;HD217014;;;;;;;;;,309
HD 197481;V AU MIC;HD197481;AU-MIC;AUMIC;GL803;;;;;,308
HD95456;;;;;;;;;;,305
GL447;ROSS  128;;;;;;;;;,305
HR5174;;;;;;;;;;,305
HD210918;HIP109821;;;;;;;;;,301
HD11977;HD-11977;;;;;;;;;,296
LHS1140;;;;;;;;;;,296
HD134606;;;;;;;;;;,292
HD39194;HD 39194;;;;;;;;;,289
HD154088;;;;;;;;;;,289
12-BOO;;;;;;;;;;,288
HD45348;CANOPUS;;;;;;;;;,288
HD43834;HR2261;ALPMEN;;;;;;;;,285
HD36003;;;;;;;;;;,285
GL581;GJ581;GI581;;;;;;;;,280
SW0146+0242;WASP-76;;;;;;;;;,279
HD071155;HD71155;;;;;;;;;,276
GL667C;GJ667C;;;;;;;;;,275
HD223171;;;;;;;;;;,274
HD38858;HD  38858;;;;;;;;;,274
GL876;;;;;;;;;;,270
HD215456;;;;;;;;;;,269
HD31527;;;;;;;;;;,267
HD106315;EPIC201437844;;;;;;;;;,266
HD82943;HD-82943;;;;;;;;;,264
LQ-HYA;V LQ HYA;HD-82558;HD082558;HD82558;;;;;;,262
HD3823;;;;;;;;;;,261
HD31128;;;;;;;;;;,261
HD179079;;;;;;;;;;,261
HD93385;;;;;;;;;;,259
HD13808;;;;;;;;;;,253
HD 220339;HD220339;;;;;;;;;,252
HD147787;;;;;;;;;;,249
EPIC205071984;C02T004;;;;;;;;;,248
HD177565;HD 177565;;;;;;;;;,247
HR4748;;;;;;;;;;,241
HD56274;;;;;;;;;;,239
HD20781;;;;;;;;;;,237
HR3454;;;;;;;;;;,236
HR-3748;HD-81797;ALF_HYA;;;;;;;;,235
HD16160;HD 16160;;;;;;;;;,233
HD73524;;;;;;;;;;,233
HD41248;;;;;;;;;;,231
HD211038;;;;;;;;;;,230
HD87838;;;;;;;;;;,228
HD125184;;;;;;;;;;,228
HIP-85042;HD157347;HIP85042;HD157347_STD;HD 157347;;;;;;,227
HD51608;;;;;;;;;;,227
HD 170493;HD170493;;;;;;;;;,227
NU_OCT;HR-8254;HD-205478;;;;;;;;,225
HD159492;;;;;;;;;;,224
HD224392;;;;;;;;;;,224
HD-74874;HD74874;;;;;;;;;,223
HD41641;;;;;;;;;;,222
HD21693;;;;;;;;;;,221
HD50870;;;;;;;;;;,221
SW0939-2059;SW0939-2058;;;;;;;;;,220
HD-36705;V AB DOR;HD36705;;;;;;;;,219
HD216803;;;;;;;;;;,217
HD181433;HD 181433;;;;;;;;;,216
GJ3293;;;;;;;;;;,215
EPIC245950175;;;;;;;;;;,215
HD1388;;;;;;;;;;,214
HD22879;HD-22879;;;;;;;;;,214
GJ163;HIP19394;;;;;;;;;,214
HD220507;HIP115577;;;;;;;;;,212
HR3090;;;;;;;;;;,210
HD   8389;HD8389A;HD8389;NLTT4599;;;;;;;,209
GJ3138;BD-170400;;;;;;;;;,207
HD68146;HD068146;;;;;;;;;,207
HD32564;HD 32564;;;;;;;;;,207
HR6930;;;;;;;;;;,206
HD20003;;;;;;;;;;,204
HD130694;;;;;;;;;;,204
GL176;GJ176;;;;;;;;;,203
HD111777;;;;;;;;;;,202
GL701;HD 165222;;;;;;;;;,202
GL229;;;;;;;;;;,201
HD10647;HR506;;;;;;;;;,200
ALPHA_FOR;HR963;ALPFOR;;;;;;;;,200
HD216435;TAU01 GRU;;;;;;;;;,200
HR7950;;;;;;;;;;,200
GL754;;;;;;;;;;,199
TOI-500;;;;;;;;;;,199
9CET;BE-CET;9 CET;BECET;HD1835;;;;;;,197
HD11964A;GL81.1B;;;;;;;;;,196
HD125248;HD-125248;;;;;;;;;,196
HD60532;HD060532;HR_2906;;;;;;;;,196
TOI-1203;;;;;;;;;;,195
GL436;;;;;;;;;;,194
GL536;HD122303;;;;;;;;;,193
GJ654;;;;;;;;;;,193
HD133880;HD-133880;;;;;;;;;,193
$EPSILON$,CMA;HD-52089;HD-44743;;;;;;;;,192
GL628;BD-12 4523;;;;;;;;;,191
HD43317;;;;;;;;;;,191
L-CAR;L CAR;;;;;;;;;,190
GL832;GJ 832;GJ-832;;;;;;;;,189
HD-171488;HD171488;V V889 HER;V889-HER;;;;;;;,188
HD211415;HR8501;;;;;;;;;,187
SW1019-0948;WASP43;;;;;;;;;,187
GJ1061;GJ-1061;;;;;;;;;,185
HR718;;;;;;;;;;,185
GL693;;;;;;;;;;,184
HD4628;;;;;;;;;;,183
GJ3135;;;;;;;;;;,183
TOI-431;HIP26013;;;;;;;;;,182
HD36379;;;;;;;;;;,181
BETA VIR;BETA-VIR;HD-102870;LHS2465_F9V;;;;;;;,181
LRA01_E2_0165;;;;;;;;;;,181
HIP105184;HD202628;;;;;;;;;,181
49-CNC;49_CNC;HD74521;;;;;;;;,180
HR9087;HD224926;;;;;;;;;,180
HD59967;HD  59967;HIP36515;HD059967;HD 59967;;;;;;,180
HD199847;;;;;;;;;;,179
GL393;HD851317;;;;;;;;;,179
55-CANCRI;55CNC;;;;;;;;;,179
GJ-479;GL479;GJ479;;;;;;;;,178
HR4963;HR4963SPHOT;;;;;;;;;,177
HD204941;HD 204941;;;;;;;;;,175
WASP-18;WASP18A;;;;;;;;;,175
GL87;BD+02   348;;;;;;;;;,174
EPS RET;;;;;;;;;;,174
HIP-89829;HD 168210;;;;;;;;;,174
HD144585;;;;;;;;;;,173
GJ1214;;;;;;;;;;,173
HD47186;;;;;;;;;;,172
HD218396;HD218296;V342_PEG;;;;;;;;,169
SW1042-0350;SW1042-0350B;;;;;;;;;,169
TAU-BOO;TAUBOO;;;;;;;;;,166
L98-59;TOI-175;TIO175;;;;;;;;,166
HIP-77052;HD140538;PSI SER;HIP77052;;;;;;;,164
HD26967;HD-26967;;;;;;;;;,163
HD91889;HD091889;;;;;;;;;,163
DELTA_VEL;DEL-VEL;;;;;;;;;,163
HD216385;;;;;;;;;;,162
BET DOR;BETA-DOR;BET-DOR;;;;;;;;,162
HD77110;;;;;;;;;;,162
HD77338;HD077338;HD 77338;;;;;;;;,162
GJ382;GL382;HIP49986;;;;;;;;,161
HD61986;;;;;;;;;;,161
HD90156;;;;;;;;;;,161
GAMMA-SER;;;;;;;;;;,160
HD102647;;;;;;;;;;,160
IX_VEL;;;;;;;;;;,160
HD197197;;;;;;;;;;,159
GL514;;;;;;;;;;,159
HIP31592;HD-47205;HIP-31592;HD47205;;;;;;;,159
HD 38677;HD38677;;;;;;;;;,159
HR1544;HD30739;;;;;;;;;,158
TOI-1233;;;;;;;;;;,158
HD-179949;HD179949;;;;;;;;;,157
LP816-60;;;;;;;;;;,157
HD169689;;;;;;;;;;,157
LHS1723;;;;;;;;;;,156
HD206893;HD 206893;;;;;;;;;,156
HR5501;HD147513;;;;;;;;;,155
GL205;GJ205;HD36395;;;;;;;;,155
HD71835;;;;;;;;;;,153
GL752A;;;;;;;;;;,153
EPIC206011496;;;;;;;;;;,153
TOI-4399;;;;;;;;;;,151
HD221420;HD 221420;;;;;;;;;,150
HD78429;;;;;;;;;;,150
GL678.1A;;;;;;;;;;,150
HD111998;;;;;;;;;;,150
HD114853;;;;;;;;;;,149
HD126525;HIP70695;HD 126525;;;;;;;;,148
HR1996;HR1996_LIN;HR1996_CIRC;HD38666;;;;;;;,148
SW0415-2206;;;;;;;;;;,148
HD117618;HD-117618;;;;;;;;;,146
HD92499;HD-92499;;;;;;;;;,146
HD178484;;;;;;;;;;,146
HD 34721;;;;;;;;;;,146
HD32147;;;;;;;;;;,145
HD106116;;;;;;;;;;,144
HD-81009;HR-3724;;;;;;;;;,144
GJ317;GJ-317;L 675-81;;;;;;;;,144
OMILUP;HD-130807;;;;;;;;;,144
HD119419;;;;;;;;;;,144
HD93083;;;;;;;;;;,143
C15-0734;;;;;;;;;;,142
HD147513;HD-147513;HIP80337;HD 147513;;;;;;;,141
HD74698;;;;;;;;;;,141
HD45546;;;;;;;;;;,141
GL880;;;;;;;;;;,140
HD134987;;;;;;;;;;,140
HD129642;;;;;;;;;;,140
SW0710-3906;;;;;;;;;;,140
HD 136351;;;;;;;;;;,140
HD82516;;;;;;;;;;,139
HD114076;;;;;;;;;;,138
HD125595;;;;;;;;;;,138
GJ676A;HIP85647;GJ676B;;;;;;;;,138
GJ4100;;;;;;;;;;,138
HD147584;;;;;;;;;;,137
GJ3341;;;;;;;;;;,137
HD105690;;;;;;;;;;,137
HIP-22263;HIP22263;;;;;;;;;,137
I,CAR;I-CAR;;;;;;;;;,137
HD102438;;;;;;;;;;,136
HR7596;HR-7596;;;;;;;;;,136
HD45418;;;;;;;;;;,136
HD216770;;;;;;;;;;,135
HD117207;HD 117207;;;;;;;;;,135
HD168871;;;;;;;;;;,134
HD7449;;;;;;;;;;,134
BD+20  2465;GL388;AD-LEO;HD901741;;;;;;;,134
HD-188041;HD188041;;;;;;;;;,134
HD94771;;;;;;;;;;,133
GL410;HD95650;HD095650;;;;;;;;,133
HD095086;;;;;;;;;;,133
2M1129-0127;;;;;;;;;;,133
HD137676;;;;;;;;;;,132
HD219834;;;;;;;;;;,131
HD206998;;;;;;;;;;,131
HD67200;HD 67200;;;;;;;;;,131
HD63765;;;;;;;;;;,130
GL358;;;;;;;;;;,130
HD52265;HD  52265;;;;;;;;;,130
HD119173;;;;;;;;;;,130
HD7199;;;;;;;;;;,129
HD175607;;;;;;;;;;,129
HD168723;;;;;;;;;;,129
GJ1132;;;;;;;;;;,129
HD134088;;;;;;;;;;,128
HD157172;;;;;;;;;;,128
HD76700;HD-76700;;;;;;;;;,128
HD208487;;;;;;;;;;,127
ALP-SCL;HD5737;;;;;;;;;,127
HD171834;;;;;;;;;;,127
V V1358 ORI;HD-43989;HD43989;HD043989;;;;;;;,126
GL213;;;;;;;;;;,126
HD 203384;HD203384;;;;;;;;;,126
HD150433;;;;;;;;;;,126
GJ3470;LP 424-4;HD85512;;;;;;;;,126
SW0604-1658;;;;;;;;;;,126
EPIC249622103;;;;;;;;;;,126
HD224817;;;;;;;;;;,125
HD-116114;;;;;;;;;;,125
HD133633;;;;;;;;;;,125
HD69611;;;;;;;;;;,124
HD45364;;;;;;;;;;,124
HD204313;HD 204313;;;;;;;;;,124
TOI-125;TOI_125;;;;;;;;;,124
TOI-2494;TIC282576340;;;;;;;;;,124
DSTUC;HD 222259;HD222259;;;;;;;;,123
HD28471;HD 28471;;;;;;;;;,122
ALF-GRU;;;;;;;;;;,122
HIP-54582;HD97037;HIP54582;HD 97037;;;;;;;,122
HD103774;;;;;;;;;;,122
HD-128429;;;;;;;;;;,122
HD013445_GJ86_HR637;HD 13445;HD013445;;;;;;;;,122
HD89839;HD 89839;;;;;;;;;,121
HD215497;;;;;;;;;;,121
BD-061339;GJ221;;;;;;;;;,121
HR7349;;;;;;;;;;,121
HD 219077;HD219077;;;;;;;;;,120
HD-201601;GAMMA-EQU;HD201601;;;;;;;;,120
HD-75445;;;;;;;;;;,120
EPIC228801451;;;;;;;;;;,120
HD15337;;;;;;;;;;,119
HD21132;;;;;;;;;;,119
HD170699;;;;;;;;;;,119
TOI-1054;;;;;;;;;;,119
HD149396;;;;;;;;;;,118
GJ663A;GJ663B;HD155885;;;;;;;;,118
HIP102040;HD 197076;;;;;;;;;,118
HD131399;;;;;;;;;;,118
HD 92788;HD92788;;;;;;;;;,117
HD-27536;HD27536;;;;;;;;;,117
HD189733;;;;;;;;;;,117
HD110014;HD-110014;CHI-VIR_K2III;;;;;;;;,117
HD216437;HD 216437;;;;;;;;;,117
HD34816;HD_34816_4.29;;;;;;;;;,117
HR3476;;;;;;;;;;,117
HD85390;;;;;;;;;;,116
HD152391;;;;;;;;;;,116
HD114729;HD 114729;;;;;;;;;,116
HIP83941;;;;;;;;;;,116
GJ-729;HD000011;GL729;;;;;;;;,116
HD181720;;;;;;;;;;,116
HD42936;HD 42936;;;;;;;;;,116
HD110113;;;;;;;;;;,116
HD114783;HD 114783;;;;;;;;;,115
HD207869;;;;;;;;;;,115
HR-1654;HD-32887;;;;;;;;;,115
HD169822;;;;;;;;;;,115
HIP-30476;HD45289;HIP30476;;;;;;;;,114
HD199604;;;;;;;;;;,114
HD172568;;;;;;;;;;,114
HD099211;HD99211;;;;;;;;;,114
HD43285;;;;;;;;;;,114
HN-PEG;HD 206860;HD206860;;;;;;;;,114
HD43162;HD  43162;;;;;;;;;,114
BD-082823;;;;;;;;;;,113
HD88725;;;;;;;;;;,113
HD170231;NGC6633NO106;;;;;;;;;,113
HD029391;HD29391;;;;;;;;;,113
HD156846;;;;;;;;;;,113
HD564;HD 564;;;;;;;;;,112
HD-3405;HD3405;;;;;;;;;,112
HD124850;;;;;;;;;;,112
HIP-11915;HD16008;HIP11915;;;;;;;;,111
HD121504;;;;;;;;;;,111
18 DEL;;;;;;;;;;,111
HD170031;;;;;;;;;;,111
GJ2066;;;;;;;;;;,110
HD141624;;;;;;;;;;,110
HD297396;;;;;;;;;;,109
HD79601;;;;;;;;;;,109
HD103891;;;;;;;;;;,109
TOI-544;TIC 713009339;;;;;;;;;,109
HD457;;;;;;;;;;,108
HD119949;;;;;;;;;;,107
BD-210397;;;;;;;;;;,107
HD109271;;;;;;;;;;,107
IC4651NO9122;IC4651NO9025;E60;;;;;;;;,107
2M1130+0735;;;;;;;;;;,107
HD4308;HD221356;;;;;;;;;,106
HD55;HD     55;;;;;;;;;,106
HD126793;;;;;;;;;;,106
