Release Date,Object,RA,DEC,Program ID,OB ID,DPR.CATG,DPR.TYPE,Dataset ID,EXPTIME
2011-11-29,LTT2364,05:44:28.56,-22:26:51.8,60.A-9036(A),,SCIENCE,"STAR,LINPOL,G2V",HARPS.2010-11-29T07:17:58.153.tar,    20.000
2013-07-20,HD-221507,23:32:57.81,-37:49:08.5,187.D-0917(C),100311852,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2012-07-20T10:00:38.986.tar,   270.000
2013-07-20,HD-221507,23:32:57.74,-37:49:09.6,187.D-0917(C),100311852,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2012-07-20T10:20:50.552.tar,   270.000
2013-08-04,HD24712,03:55:15.60,-12:05:56.8,089.D-0383(A),100312982,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2012-08-04T10:25:22.962.tar,   499.993
2013-08-06,HD137949,15:29:34.41,-17:26:20.9,089.D-0383(A),100313030,SCIENCE,"STAR,CIRPOL,Bp",HARPS.2012-08-06T00:20:29.094.tar,   300.000
2013-08-07,HD221507,23:32:57.84,-37:49:03.4,089.D-0383(A),100313118,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2012-08-07T06:29:33.878.tar,   900.000
2013-08-08,HD24712,03:55:16.09,-12:05:57.8,089.D-0383(A),100313204,SCIENCE,"STAR,LINPOL",HARPS.2012-08-08T09:27:22.061.tar,   900.000
2013-08-08,HD24712,03:55:15.71,-12:05:58.7,089.D-0383(A),100313208,SCIENCE,"STAR,LINPOL",HARPS.2012-08-08T09:58:45.841.tar,   900.000
2013-08-09,HD166473,18:12:25.60,-37:45:09.0,089.D-0383(A),100313232,SCIENCE,"STAR,CIRPOL,Bp",HARPS.2012-08-09T03:27:33.919.tar,  1800.000
2013-08-09,HD217522,23:01:46.77,-44:50:31.6,089.D-0383(A),100313244,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2012-08-09T06:46:52.773.tar,  1200.000
2014-12-02,GJ205,05:31:27.76,-03:41:08.9,092.C-0715(A),17,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2013-12-02T04:33:40.644.tar,   450.000
2014-12-06,GJ205,05:31:27.74,-03:41:07.8,092.C-0715(A),15,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2013-12-06T04:06:20.653.tar,   450.000
2014-12-06,GJ176,04:42:55.55,+18:56:59.0,092.C-0715(A),16,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2013-12-06T04:25:38.904.tar,   600.000
2014-12-24,HD-36285,05:30:20.32,-07:26:06.6,191.D-0255(D),100347007,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-24T00:36:27.303.tar,  1400.000
2014-12-24,HD-36512,05:31:56.26,-07:18:09.3,191.D-0255(D),100347013,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-24T01:38:11.597.tar,   550.000
2014-12-24,HD-36512,05:31:56.27,-07:18:09.8,191.D-0255(D),100347016,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-24T01:59:07.193.tar,     9.998
2014-12-24,HD-36512,05:31:56.27,-07:18:09.8,191.D-0255(D),100347017,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-24T02:05:57.037.tar,   549.999
2014-12-24,HD-36430,05:31:21.11,-06:42:33.2,191.D-0255(D),100347019,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-24T02:26:34.583.tar,  1299.999
2014-12-24,HD-40111,05:57:58.40,+25:56:51.9,191.D-0255(D),100347022,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-24T04:03:05.513.tar,  1000.000
2014-12-24,HD-36591,05:32:41.55,-01:35:35.0,191.D-0255(D),100347025,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-24T05:14:18.963.tar,  1000.000
2014-12-24,HD-36486,05:32:00.20,-00:18:07.6,191.D-0255(D),100347028,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-24T06:25:19.190.tar,    60.000
2014-12-24,HD-55857,07:13:36.36,-27:21:20.4,191.D-0255(D),100347029,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-24T06:33:40.101.tar,  1700.000
2014-12-24,HD-44743,06:22:41.63,-17:57:35.4,191.D-0255(D),100347032,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-24T08:31:16.029.tar,    60.000
2014-12-24,HD-52089,06:58:37.38,-28:58:32.0,191.D-0255(D),100347033,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-24T08:39:36.329.tar,    40.000
2014-12-25,HD-36486,05:31:59.78,-00:18:01.5,191.D-0255(D),100347056,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-25T00:44:29.196.tar,   219.998
2014-12-25,HD-44743,06:22:41.71,-17:57:24.9,191.D-0255(D),100347058,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-25T01:08:33.063.tar,   250.000
2014-12-25,HD-68826,08:11:53.63,-48:45:13.2,191.D-0255(D),100347064,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-25T01:33:30.294.tar,  1400.000
2014-12-25,HD-35039,05:21:45.65,-00:22:58.6,191.D-0255(D),100347069,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-25T03:12:40.435.tar,  1600.000
2014-12-25,HD-37468,05:38:44.86,-02:36:04.3,191.D-0255(D),100347075,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-25T05:02:46.926.tar,   450.000
2014-12-25,HD-52089,06:58:37.52,-28:58:18.3,191.D-0255(D),100347077,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-25T05:37:20.152.tar,    35.000
2014-12-25,HD-75759,08:50:21.29,-42:05:29.7,191.D-0255(D),100347078,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-25T05:45:57.524.tar,  2600.000
2014-12-26,HD-35299,05:23:41.75,-00:09:40.0,191.D-0255(D),100347098,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-26T00:40:40.760.tar,  2450.000
2014-12-26,HD-36591,05:32:41.32,-01:35:30.8,191.D-0255(D),100347106,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-26T03:31:25.372.tar,  1800.000
2014-12-26,HD-55857,07:13:36.19,-27:21:20.6,191.D-0255(D),100347107,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-26T05:40:32.933.tar,  2800.000
2014-12-27,HD-37209,05:36:35.19,-06:03:56.5,191.D-0255(D),100347124,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-27T00:38:18.799.tar,  2450.000
2014-12-27,HD-36512,05:31:55.71,-07:18:04.2,191.D-0255(D),100347133,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-27T03:39:03.926.tar,  1400.000
2014-12-27,HD-44743,06:22:41.75,-17:57:18.3,191.D-0255(D),100347135,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-27T05:23:12.365.tar,   200.000
2014-12-27,HD-68826,08:11:53.78,-48:44:53.3,191.D-0255(D),100347136,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-27T05:40:03.687.tar,  2700.000
2014-12-27,HD-46328,06:31:51.13,-23:25:13.3,191.D-0255(D),100347140,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-27T07:13:43.099.tar,   999.999
2014-12-28,HD-36351,05:31:13.95,+03:17:25.6,191.D-0255(D),100347150,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-28T00:46:39.024.tar,  2000.000
2014-12-28,HD-30836,04:51:12.63,+05:36:12.0,191.D-0255(D),100347157,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-28T03:37:39.465.tar,   450.000
2014-12-28,HD-48434,06:43:38.44,+03:55:53.9,191.D-0255(D),100347160,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-28T04:12:14.842.tar,  2800.000
2014-12-28,HD-44743,06:22:42.01,-17:57:33.0,191.D-0255(D),100347166,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-28T07:29:00.660.tar,    75.000
2014-12-28,HD-46328,06:31:51.50,-23:25:18.2,191.D-0255(D),100347167,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-28T07:37:35.300.tar,   899.999
2014-12-28,HD-52089,06:58:37.60,-28:58:33.4,191.D-0255(D),100347172,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-28T08:33:10.214.tar,    45.000
2014-12-28,HD-52089,06:58:37.60,-28:58:33.3,191.D-0255(D),100347173,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-28T08:36:59.328.tar,    54.993
2014-12-29,HD-34989,05:21:42.73,+08:25:36.4,191.D-0255(D),100347182,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-29T00:40:50.423.tar,  2700.000
2014-12-29,HD-37744,05:40:37.11,-02:49:31.9,191.D-0255(D),100347194,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-29T03:48:37.119.tar,  2799.999
2014-12-29,HD-36486,05:31:59.84,-00:18:11.4,191.D-0255(D),100347205,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-29T06:59:33.526.tar,   124.992
2014-12-29,HD-44743,06:22:41.84,-17:57:34.4,191.D-0255(D),100347206,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-29T07:13:45.378.tar,    75.000
2014-12-29,HD-46328,06:31:51.26,-23:25:19.3,191.D-0255(D),100347209,SCIENCE,"STAR,CIRPOL,G2V",HARPS.2013-12-29T07:26:40.095.tar,  1150.000
2015-01-16,Gl410,11:02:37.87,+21:57:47.1,092.C-0715(A),32,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-16T08:55:45.066.tar,   300.002
2015-01-18,GJ205,05:31:28.33,-03:41:08.7,092.C-0715(A),3,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-18T00:49:41.335.tar,   450.001
2015-01-18,Gl358,09:39:46.41,-41:04:04.0,092.C-0715(A),16,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-18T04:27:08.091.tar,   900.000
2015-01-20,GJ205,05:31:27.84,-03:41:05.8,092.C-0715(A),7,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-20T02:23:19.728.tar,   400.001
2015-01-20,Gl358,09:39:46.87,-41:03:59.1,092.C-0715(A),12,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-20T03:41:30.664.tar,   900.000
2015-01-20,Gl375,09:58:35.42,-46:25:42.7,092.C-0206,15,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-20T05:09:39.369.tar,  1300.001
2015-01-21,GJ176,04:42:55.93,+18:57:01.4,092.C-0715(A),5,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-21T01:52:24.017.tar,   600.000
2015-01-21,GJ176,04:42:56.11,+18:57:03.1,092.C-0715(A),5,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-21T02:42:28.053.tar,   600.000
2015-01-21,Gl375,09:58:34.98,-46:25:41.4,092.D-0206(A),20,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-21T07:01:50.644.tar,  1300.000
2015-01-22,Gl358,09:39:46.17,-41:04:03.6,092.C-0715(A),21,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-22T04:32:37.947.tar,   900.000
2015-01-22,Gl375,09:58:35.21,-46:25:43.0,092.D-0206(A),22,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-22T05:36:55.770.tar,  1400.000
2015-01-23,GJ176,04:42:56.12,+18:57:04.6,092.C-0715(A),6,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-23T02:21:15.731.tar,   600.000
2015-01-23,Gl375,09:58:34.87,-46:25:43.0,092.D-0206(A),19,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-23T06:15:45.812.tar,  1300.000
2015-01-24,GJ205,05:31:27.81,-03:41:05.6,092.C-0715(A),6,SCIENCE,"STAR,CIRPOL,NONE",HARPS.2014-01-24T01:57:42.709.tar,   450.000
