target,count,ra,e_ra,dec,e_dec
HD128621,20625,219.87524484628605,0.005659092581258781,-60.83424221624242,0.0016473399314546138
HD10700,9796,26.012898836668025,0.0033575785447282265,-15.933978712739894,0.0015286670725326917
HD039060,7544,86.8111998725212,1.347056712877229,-51.05906022932132,0.43051347820168123
HD20794,7486,50.00498590390729,0.5248199440895295,-43.064025729361475,0.22370059692237773
PROCYON,5704,114.82551335230715,0.003915005424631818,5.222252052945302,0.0007907834273044378
HD121370,5175,208.67002987985316,0.0033646946206075928,18.395041990338164,0.001763085984222934
HD190248,5116,302.19479277529126,0.2053206421894585,-66.18006328772478,0.5138841292662486
ALP-CIR,4920,220.63021950945324,0.003364598006228118,-64.9744118394309,0.001368319436212377
HD128620,4781,219.8913224316147,0.21705102436744847,-60.82847550930768,0.43382477235863987
EPS-INDI-A,3808,330.7378407422085,1.7934484020905188,-56.6594291202731,1.9291880479859578
HD1581,3733,5.03092233457273,0.004512139471128614,-64.87192104473614,0.0012774620770890492
18_SCO,2833,243.90904205405928,0.003182525345546235,-8.370666653723967,0.0013352074149177637
BETA-HYI,2766,6.458459550907448,0.009555816432828938,-77.25243827187275,0.0030068910571968985
HD203608,2626,321.6135329505179,0.003300644495735468,-65.36555870906322,0.0019490481314166812
HD160691,2471,266.0368199283367,0.0032344875508609505,-51.835015479562934,0.0017125539569206266
HD188512,2263,298.8290430230535,0.0029165012005708184,6.405546743261158,0.0011545047084981859
HD210302,2183,332.5385925122767,0.002978593721418483,-32.55060234081539,0.0025945641316434715
18 SCO,2165,243.90557518425402,0.005582368209362334,-8.37247009699769,0.001420965781479353
MOON,2150,214.37997892722325,94.88658700656882,-3.9831887348837207,14.305493506025948
TAU-CET,1992,26.01323212559739,0.0016780830587509621,-15.935702730923694,0.0016974292826668685
HD17051,1900,40.64371326678947,0.0013918190631760682,-50.80078084736842,0.001618255214675174
HD192310,1845,303.82871058872087,0.002295045466440835,-27.033355100271002,0.0016606033301172476
HD 165341A,1795,271.3631057334485,0.0018284026709374577,2.4942105069637885,0.0012637982333931733
HD19994,1739,48.195390277481316,0.0031419958802509644,-1.1958447096032203,0.0010235708632302654
HD63077,1693,116.39587587038984,0.0015899332100228212,-34.1710639220319,0.0022460978715949237
IOT-HOR,1685,40.68377014250445,1.245505622041985,-50.775287335311575,0.7369741020926751
HD216956,1558,344.41571361043003,0.002481532214837559,-29.622732971758662,0.0018620830630827429
