target,target_curated,curation,curation_basic,note,count,ra,dec,e_ra,e_dec
ALF-APS,ALF APS,101,0,,4,221.977575205,-79.04477,0.0004231497961459,7.788880963819328e-05
ALF-ARA,ALF ARA,101,0,,56,262.96046031357145,-49.87704642857143,0.000643098543473,0.0001753793661645
ALPHA-CENTAURI,ALF CEN,102,0,,304,219.88250461095396,-60.83398858552632,0.0047223052873066,0.0002211169648211
ALPHA-CEN,ALF CEN,102,0,,29,219.88111842448276,-60.83367068965517,0.0027458444625587,0.0004707283948048
ALPHACENA,ALF CEN A,102,0,,1,219.86665111,-60.84014,0.0042,0.0042
ALPHA-CEN-A,ALF CEN A,102,0,,2,219.869304995,-60.84143,0.0016986331229807,0.0002121320343554
ALPCENA,ALF CEN A,102,0,,6,219.89286671,-60.83451,0.0005744073969272,0.0001593737745068
ALPCENB,ALF CEN B,102,0,,13,219.8897781592308,-60.83587769230769,0.0027381710713887,0.0011399426436314
ALF CEN B,ALF CEN B,101,0,,925,219.8493112795135,-60.83453012972973,0.0023337830083107,0.0027976301010523
ALPHACENB,ALF CEN B,102,0,,132,219.87929434969692,-60.83523204545455,0.0202623603960376,0.0006367135785617
ALF-CET,ALF CET,101,0,,2,45.569574995,4.089705,8.647915938505384e-06,7.071067812539836e-06
ALP-CIR,ALF CIR,102,0,,4920,220.63021950945324,-64.9744118394309,0.0033645980062281,0.0013683194362123
ALF_CMI,ALF CMI,101,0,,9,114.82620058222224,5.222661111111112,0.0036384394377,0.0002865939830336
ALPHA_CRB,ALF CRB,102,0,,5,233.670678994,26.716018,0.0017901562491654,0.001500189987968
ALPHA-CRB,ALF CRB,102,0,,3,233.66756601333336,26.71175,0.0005648417957604,0.0003004995840257
ALPHA CRB,ALF CRB,102,0,,1,233.669635,26.71062,0.0042,0.0042
ALPHADOR,ALF DOR,102,0,,498,68.4985631185743,-55.04677427710843,0.0013850122774367,0.0013657917491788
ALF-DOR,ALF DOR,101,0,,80,68.49872884325,-55.045986125,0.0019839466595684,0.000427217946776
ALPERI,ALF ERI,102,0,,9,24.429343485555552,-57.236720000000005,0.0003263999520949,4.609772228722564e-05
ALPHA_FOR,ALF FOR,102,0,,95,48.02212513063158,-28.984295263157893,0.0003790852544664,0.0002794593644771
ALPFOR,ALF FOR,102,0,,12,48.01998113,-28.987825,0.0014383117541244,0.0011611318929082
ALF-GRU,ALF GRU,101,0,,116,332.0583007811207,-46.96053387931035,0.0004308088430735,0.0002877854622176
ALF_HYA,ALF HYA,101,0,,5,141.90018683,-8.658660000000001,9.352523268257912e-05,3.937003936935819e-05
ALF-IND,ALF IND,101,0,,8,309.39166076,-47.29324,4.4095303923006245e-05,5.209880722147012e-05
ALPLEO,ALF LEO,102,0,,9,152.0922562,11.965525555555557,7.092622134988703e-05,0.0001109178875468
ALF-LUP,ALF LUP,101,0,,4,220.4817184675,-47.3887825,8.980279555568755e-05,6.701989754131939e-05
ALPMEN,ALF MEN,102,0,,12,92.56687849083332,-74.7541425,0.0092327289185059,0.0001558627018118
ALF_MON,ALF MON,101,0,,35,115.315669932,-9.552861714285717,0.0001747307555647,0.0003460915019638
ALF-MUS,ALF MUS,101,0,,28,189.2978602042857,-69.13632392857143,0.0026485227945574,0.0005727215035554
ALF ORI,ALF ORI,101,0,,4,88.79397700999999,7.4070725,4.543203055306445e-05,4.499999999999874e-05
ALPHA-PSA,ALF PSA,102,0,,36,344.4124898486112,-29.62355472222222,0.0015981211944106,0.0015486316284491
ALF-PSA,ALF PSA,101,0,,24,344.4145351,-29.62181125,3.737173276473308e-05,5.194583298905982e-05
ALF-PSC,ALF PSC,101,0,,24,30.510650065000004,2.7627900000000003,0.0005455342029451,0.0006807859907614
ALF-RET,ALF RET,101,0,,12,63.60121571333334,-62.47432,0.0004423342476257,0.0001715172930555
ALP-SCL,ALF SCL,102,0,,105,14.653258350761906,-29.35822676190476,0.0041704510787473,0.0019090299062994
ALF-TAU,ALF TAU,101,0,,3,68.97693972,16.50448666666667,3.207490763093697e-05,1.1547005383611767e-05
ALF-TEL,ALF TEL,101,0,,4,276.74459499750003,-45.972315,0.000149681624433,0.0002221861081797
ALF-TRA,ALF TRA,101,0,,40,252.165096683,-69.0298675,0.0026996973099667,0.0011468278434749
ALPHATRA,ALF TRA,102,0,,21,252.1717267023809,-69.02525476190476,0.0010112552879528,0.0004463140043477
ALF-TUC,ALF TUC,101,0,,4,334.623645,-60.2601275,0.0002509648049627,4.3493294503409214e-05
GC-AQPUP,AQPUP,0,-100000,,1,119.59120194,-29.13164,0.0042,0.0042
ASTRAEA,ASTRAEA,100001,0,,4,51.6187409675,-4.404395,100.25083935826132,1.8034366697225608
GC-BBSGR,BBSGR,0,-100000,,2,282.7484975,-20.29228,1.7677669545323413e-05,0.0001555634918614
BD--4-3208,BD 4-3208,8,0,,13,181.81229843615387,-5.734352307692308,0.0012069851657587,0.0009095892282247
BDCAP,BD CAP,1,0,,1,302.53300305,-25.2857,0.0042,0.0042
BD+00-1659,BD+00-1659,8,0,,4,102.941643745,0.464995,0.0010047210977013,0.0009186402995732
BD+004175B,BD+004175B,8,0,,2,290.077164995,0.941085,0.0010237279845572,0.0004737615433949
BD+012063,BD+012063,8,0,,22,124.82690252227272,1.3377872727272726,0.0025687469697942,0.0009059548071257
BD+02   348,BD+02 348,8,0,,7,33.07673416428572,3.5660914285714287,0.0016847600042827,0.0037253967510027
BD+03   301,BD+03 301,8,0,,1,32.99056694,4.36194,0.0042,0.0042
BD+03  580,BD+03 580,8,0,,4,64.1693495125,3.693325,0.0007958237336356,0.0007289032857654
BD+03 580,BD+03 580,8,0,,6,64.16929999666667,3.6982366666666655,0.0009684712336975,0.0007951771291144
BD+032316,BD+032316,8,0,,2,151.73327152500002,2.96293,0.0009410389176169,0.0008626702730475
BD+03353,BD+03353,8,0,,2,38.330405555,4.422610000000001,0.0013160035015316,0.0004101219330886
BD+034525,BD+034525,8,0,,1,318.47394194,4.45293,0.0042,0.0042
BD+06  2168,BD+06 2168,8,0,,27,141.10770773296295,5.765454444444445,0.0010086978626491,0.0014581345652089
BD+062840B,BD+062840B,8,0,,1,212.159325,6.03067,0.0042,0.0042
BD+062932,BD+062932,8,0,,4,220.822538955,5.82634,0.0012692916295636,0.0013553843243402
BD+063077,BD+063077,8,0,,1,234.66260888,6.37486,0.0042,0.0042
BD+07-2411B,BD+07-2411B,8,0,,11,166.53038964272727,7.029705454545455,0.0010395842361428,0.0014358855360812
BD+083095,BD+083095,8,0,,3,237.74323796,8.421133333333334,0.0018592226389356,0.0014491836782588
BD+084055,BD+084055,8,0,,2,290.42481444,9.19628,0.0011871474328085,0.0005939696961968
BD+084056,BD+084056,8,0,,1,290.42828388,9.188,0.0042,0.0042
BD+08456,BD+08456,8,0,,2,45.011271525,9.176625,0.0002142887100381,0.0001343502884253
BD+102079,BD+102079,8,0,,2,149.42548958,9.976955,0.0013766944765506,2.1213203434793345e-05
BD+10303B,BD+10303B,8,0,,3,33.920542033333334,10.768866666666668,0.0011000248394611,0.0001960442127001
BD+11533,BD+11533,8,0,,1,58.101285,12.37656,0.0042,0.0042
BD+120090,BD+120090,8,0,,13,11.931513436153846,12.869906153846156,0.0014230846066119,0.0025023140572314
BD+141876,BD+141876,8,0,,3,125.22516833,14.06609,0.0005356259048067,0.0003407345007484
BD+144559,BD+144559,8,0,,26,318.39970414076924,14.688189615384614,0.0015320199841535,0.0016201542661596
BD+17_1832,BD+17 1832,8,0,,11,125.99066504636365,17.110646363636363,0.0009152146647712,0.0013683294393321
BD+17235,BD+17235,8,0,,5,24.557583664,17.827332000000002,0.0002956335335854,0.0002630969403077
BD+191739,BD+191739,8,0,,2,112.13436944,19.64788,9.271584114339912e-05,0.0001272792206137
BD+20  2465,BD+20 2465,8,0,,76,154.89614949907894,19.86692842105263,0.0011087603690079,0.0021727518972558
BD20594_PLEI,BD+20 594,1,0,,4,53.6461843025,20.60034,0.0011592928578913,0.0020652199237186
BD+22353B,BD+22353B,8,0,,4,37.2746885375,22.8625875,0.0002014165268582,0.0006227559714679
BD+262606,BD+262606,8,0,,2,222.25119097,25.69577,0.0001640063468528,1.4142135623195562e-05
BD-002387,BD-002387,8,0,,3,163.76582074,-0.80437,0.0007910636262077,0.0013180667661389
BD-002709,BD-002709,8,0,,9,163.0107282366667,-0.1614266666666666,0.0010170284769186,0.0011678077752781
BD-004234,BD-004234,8,0,,1,323.04789194,0.22017,0.0042,0.0042
BD-010184,BD-010184,8,0,,6,21.289650966666667,-1.0608816666666667,0.0018059167845682,0.0016558794239517
BD-012505,BD-012505,8,0,,38,169.3065773863158,-1.9818786842105265,0.0035238090237571,0.0011954308757359
BD-013125,BD-013125,8,0,,32,240.069363035,-1.7992590625,0.0021244777031545,0.0015631386114315
BD-013801,BD-013801,8,0,,5,294.854930386,-0.841272,0.0035225280944524,0.0008134310050643
BD-02299,BD-02299,8,0,,1,27.18918,-1.43006,0.0042,0.0042
BD-025958,BD-025958,8,0,,2,351.769630555,-1.28591,6.99257895942589e-05,0.0028142849891226
BD-032525,BD-032525,8,0,,2,134.79352597000002,-4.0281,0.000528958298749,0.0008343860017999
BD-033746,BD-033746,8,0,,8,228.49522023875,-3.79738625,0.0018365822160282,0.0019270253723586
BD-034797,BD-034797,8,0,,11,302.42210749454546,-3.129439090909091,0.0046226402937606,0.0019126811263013
BD-035059,BD-035059,8,0,,6,313.48617800666665,-2.7676466666666664,0.0030159252856386,0.0017700922763139
BD-035691,BD-035691,8,0,,1,355.54301888,-2.57701,0.0042,0.0042
BD-04_3206,BD-04 3206,8,0,,10,181.586381719,-4.913929,0.0015800354508446,0.0010265741300287
BD-04 3206,BD-04 3206,8,0,,2,181.58719861,-4.91129,0.0001025304832543,0.0002262741699799
BD-04-3206,BD-04-3206,8,0,,4,181.5858842325,-4.9144425,0.0007546230612895,0.0020391399330761
BD-040782,BD-040782,8,0,,2,63.791065965,-4.419095,0.0007029843486511,6.363961030595012e-05
BD-042639,BD-042639,8,0,,9,142.39714444,-5.3725088888888894,0.0026036177568344,0.0007343610223256
BD-043873,BD-043873,8,0,,9,230.5159262611111,-4.778423333333333,0.0020890619255808,0.0020637102509798
BD-044138,BD-044138,8,0,,12,249.5827781675,-5.020445,0.0031676810962641,0.001176122288014
BD-050484,BD-050484,8,0,,7,38.89698154285714,-4.7679342857142855,0.0030521609472452,0.0015429609753421
BD-050578,BD-050578,8,0,,8,46.704488745,-4.80894375,0.0013576335573446,0.0005510752476489
BD-053176,BD-053176,8,0,,8,164.6017323575,-6.73630375,0.0024789669779509,0.0010407406360036
BD-053596,BD-053596,8,0,,4,193.73140326,-6.339965,0.0023330983804273,0.0004619162983341
BD-053763,BD-053763,8,0,,7,206.84730718,-6.13856,0.0024362571730526,0.0012244046172186
BD-054065,BD-054065,8,0,,3,231.0691652733333,-5.607626666666666,0.0006253533376575,0.0001159022576715
BD-060904,BD-060904,8,0,,6,66.50999235833332,-6.181295,0.0027067044250717,0.0003953100049329
BD-061339,BD-061339,8,0,,114,88.25251655263158,-5.99561298245614,0.0027467028899002,0.0012215606801402
BD-062423A,BD-062423A,8,0,,1,120.77885,-6.41621,0.0042,0.0042
BD-063481,BD-063481,8,0,,36,179.31662076,-6.976418611111111,0.002478851457455,0.0013853130698827
BD-063950,BD-063950,8,0,,8,213.38052714875,-6.9589625,0.0022209481419922,0.0017238723021983
BD-064196,BD-064196,8,0,,4,231.1476184675,-7.055685,0.0036359021506279,0.0005036202272875
BD-064756,BD-064756,8,0,,9,276.2067215388889,-6.3540544444444444,0.0024818417866821,0.0015401632308869
BD-065663,BD-065663,8,0,,4,315.9927965225,-6.1409925,0.0012656132399955,0.0026830501921005
BD-070699,BD-070699,8,0,,4,58.6477827025,-6.82461,0.002094011052984,0.002008581589082
BD-073837,BD-073837,8,0,,7,215.79815098857145,-8.116544285714285,0.0026963843412842,0.0014694994288628
BD-074156,BD-074156,8,0,,7,239.97142059142857,-8.25382,0.0016872690817335,0.0011876026271442
BD-074478,BD-074478,8,0,,5,265.18446983,-7.768656,0.0030159965623166,0.0007987052021866
BD-075223,BD-075223,8,0,,5,303.621435218,-7.283534,0.0043441423050868,0.0012741389249215
BD-08 2955,BD-08 2955,8,0,,33,158.57904248787878,-9.163181818181815,0.0011497818139683,0.0017427572524332
BD-080535,BD-080535,8,0,,4,42.93669479,-8.2706925,0.0032305784854228,0.0017118289439466
BD-082534,BD-082534,8,0,,16,134.322769944375,-9.4624525,0.0027981942754741,0.0011396812419854
BD-082582,BD-082582,8,0,,23,136.6890375330435,-8.805878695652174,0.0023810821793947,0.0016961756565018
BD-082813,BD-082813,8,0,,9,149.7967454588889,-9.183516666666668,0.0013193863945602,0.0008533024082942
BD-082823,BD-082823,8,0,,113,150.199924290177,-9.5159803539823,0.0021573379428134,0.0012734878492366
BD-084501,BD-084501,8,0,,4,266.86625569,-8.778685,0.001003123389641,0.0011159599753877
BD-090872,BD-090872,8,0,,2,65.060289025,-9.03785,0.0013421240260269,0.0008768124086726
BD-090956,BD-090956,8,0,,5,70.120296328,-9.194972,0.0017701168425614,0.0013707917420235
BD-091261,BD-091261,8,0,,12,88.64502326083334,-9.3915175,0.0024269927960036,0.0014267198552813
BD-092535,BD-092535,8,0,,15,127.41688881,-9.976412666666668,0.0015801443121329,0.0007657439582023
BD-092670,BD-092670,8,0,,3,132.49125629,-9.797283333333334,0.001810283572834,0.0009211586906355
BD-093063,BD-093063,8,0,,16,156.065590134375,-10.405593125,0.0015688287351955,0.0016462187734318
BD-093070,BD-093070,8,0,,8,156.29386082874998,-10.2285825,0.0018481313159787,0.0022014913776154
BD-094191,BD-094191,8,0,,6,234.8411146733333,-10.273676666666669,0.0012916351198855,0.0009650215887045
BD-1_469,BD-1 469,8,0,,6,49.59318846666667,-0.93064,0.0006289871515943,0.000695039567219
BD-10_1177,BD-10 1177,8,0,,1,81.09177,-10.34702,0.0042,0.0042
BD-100047,BD-100047,8,0,,6,4.774549671666667,-9.964265,0.0045530460394745,0.0012727097076713
BD-100216,BD-100216,8,0,,4,15.488200275,-9.8854225,0.0027316116306742,0.0015392503586703
BD-104948A,BD-104948A,8,0,,6,286.58777166166664,-10.71704,0.0008457465671253,0.0013494887920981
BD-104948B,BD-104948B,8,0,,9,286.5848286688889,-10.71879888888889,0.0008001893344462,0.0010538672170205
BD-110028,BD-110028,8,0,,11,3.4985334800000003,-10.951973636363636,0.001128584487152,0.0015700526916464
BD-110192,BD-110192,8,0,,5,15.590498832,-10.42444,0.0044740017715316,0.0015806169681483
BD-112763,BD-112763,8,0,,7,149.19328697857142,-12.27018,0.0018085126388875,0.0010175460677529
BD-1128,BD-1128,8,0,,10,3.499629384,-10.955295,0.0002919019365471,0.0009639646143802
BD-114672,BD-114672,8,0,,48,278.37035212041667,-11.63615375,0.0024394671058226,0.0015037366578527
BD-114934A,BD-114934A,8,0,,1,289.34822111,-11.56678,0.0042,0.0042
BD-114934B,BD-114934B,8,0,,1,289.35439888,-11.56889,0.0042,0.0042
BD-12 4523,BD-12 4523,8,0,,1,247.57446611,-12.66558,0.0042,0.0042
BD_12_4982_9.3,BD-12 4982,1,0,,2,274.540326525,-12.176984999999998,0.0002099753586777,0.0001626345596724
BD-12_4982,BD-12 4982,8,0,,8,274.54153492875,-12.18113375,0.0019184898210283,0.0012207484530872
BD-120327,BD-120327,8,0,,5,26.461954328,-11.331622,0.0011185591905311,0.0011269738240081
BD-120525,BD-120525,8,0,,3,42.02722703333333,-11.764360000000002,0.0017416719545951,0.0018324027941482
BD-120662,BD-120662,8,0,,8,52.33308989125,-11.6795725,0.001070069128548,0.0013267441350916
BD-123458,BD-123458,8,0,,12,173.71054073666667,-13.241593333333334,0.0021343009067878,0.0015430626767054
BD-124542,BD-124542,8,0,,11,248.24047315181815,-12.591555454545457,0.0021113475227411,0.0015989456753518
BD-124699,BD-124699,8,0,,11,259.0860065372727,-12.177680909090908,0.002270795779172,0.0012625169665823
BD-12588,BD-12588,8,0,,2,46.053239025,-12.368975,0.0008031530952794,0.0006576093065037
BD-126174,BD-126174,8,0,,21,331.4624217814286,-11.914354285714284,0.0030331093493071,0.0025077870153355
BD-130116,BD-130116,8,0,,14,10.349797953571429,-13.170996428571428,0.001826380255017,0.002209405096202
BD-130321,BD-130321,8,0,,48,26.93306648875,-12.769249166666668,0.0014588770498007,0.0015297751654207
BD-130718,BD-130718,8,0,,6,55.77597698666667,-12.894716666666667,0.002148757774266,0.0013684833454109
BD-131161,BD-131161,8,0,,15,82.202593088,-13.543071333333334,0.0015536615511701,0.0022769085139614
BD-131434,BD-131434,8,0,,15,94.59525625466668,-13.867682,0.0016380166568104,0.0015953691914861
BD-133333,BD-133333,8,0,,9,169.09208712555557,-14.693257777777776,0.0019660599812172,0.0013988010739365
BD-135865,BD-135865,8,0,,4,317.5111524975,-13.1753375,0.0020482140276527,0.0018798648001031
BD-136483,BD-136483,8,0,,4,358.7499754825,-12.9598375,0.0038172640210135,0.0016419576730233
BD-140184,BD-140184,8,0,,4,15.0962962475,-13.599315,0.0031160464713202,0.0014612437624621
BD-142469,BD-142469,8,0,,7,124.68524610571428,-15.202674285714284,0.0017019846162238,0.0003102610268175
BD-144622,BD-144622,8,0,,7,260.6804535271429,-14.960922857142858,0.0021627945561938,0.0016232653745433
BD-145003,BD-145003,8,0,,5,275.131289996,-14.362406000000002,0.0016898181212601,0.0016576579864368
BD-150728,BD-150728,8,0,,4,62.3594977725,-14.6986825,0.0017769082741744,0.0001417450763398
BD-150767,BD-150767,8,0,,11,65.04517444,-14.760605454545454,0.0025639316464369,0.0020617873975576
BD-150869,BD-150869,8,0,,9,72.38830743444444,-14.789973333333332,0.0026832202589519,0.0011925393075286
BD-153B,BD-153B,8,0,,1,1.99115194,-14.22862,0.0042,0.0042
BD-155584B,BD-155584B,8,0,,3,303.34290666333334,-15.42965,0.0009959933900414,0.0005602677931127
BD-160308,BD-160308,8,0,,12,27.197654579166667,-15.472439166666666,0.001858756007249,0.0018347873710521
BD-160931,BD-160931,8,0,,6,70.90145717166666,-15.805025,0.0016280487616496,0.0015091023822122
LP771-95A,BD-17 588A,1,0,,56,45.462917296964285,-16.59421125,0.0019217516992548,0.001317238243793
BD-170063,BD-170063,8,0,,32,7.1431371046875,-16.226375,0.0018614483531845,0.0013368885397602
BD-170400,BD-170400,8,0,,7,32.29636531571428,-16.339005714285715,0.0011869704601326,0.0011710516234399
BD-171959,BD-171959,8,0,,7,111.14245999571428,-17.89246142857143,0.0012399107319367,0.001472961060488
BD-173088,BD-173088,8,0,,5,153.031990608,-18.617234,0.0013680448403289,0.0008146655755599
BD-173242,BD-173242,8,0,,3,162.45352591999998,-17.983643333333333,0.0012833468436838,0.0007710598766197
BD-173337B,BD-173337B,8,0,,21,168.83689526,-18.146373333333333,0.0020435278344235,0.0019819771273491
BD-173874,BD-173874,8,0,,6,202.84039536666668,-18.06699,0.0006616234755367,0.0002787830697877
BD-18_4532,BD-18 4532,8,0,,11,261.9466858781818,-18.58113,0.0016728682008409,0.0011758486297138
BD-183106,BD-183106,8,0,,10,166.864279219,-19.290573,0.0014539603651169,0.0008191330104978
BD-184289,BD-184289,8,0,,5,247.76265416,-18.62163,0.0013642627560258,0.0018181721590653
BD-19_4582,BD-19 4582,8,0,,11,259.4572121672727,-19.253111818181814,0.001020017826543,0.0008896158517223
BD-195953,BD-195953,8,0,,14,313.4580429742858,-9.646609285714286,0.002972780385566,8.216624505336693
BD-200470,BD-200470,8,0,,11,37.87932838090909,-20.027601818181815,0.0026723638476107,0.0010566155230903
BD-202665A,BD-202665A,8,0,,1,131.17173194,-21.43063,0.0042,0.0042
BD-202862,BD-202862,8,0,,2,140.08744708,-20.705155,0.0006703796549609,0.0002192031021708
BD-203194,BD-203194,8,0,,9,157.59111564333332,-21.236697777777778,0.0025254893322601,0.0016082426572006
BD-203278,BD-203278,8,0,,9,162.61724434777776,-20.880497777777776,0.0014990452135401,0.0017578806684318
BD-203868,BD-203868,8,0,,22,205.70950989409093,-21.71191909090909,0.0017940734887654,0.0012789166140241
BD-206558,BD-206558,8,0,,4,348.571879025,-19.642635,0.0023009992613457,0.0006988800564722
BD-210397,BD-210397,8,0,,107,33.302779697570095,-21.196013457943927,0.0018043131039959,0.0017081746313886
BD-210784,BD-210784,8,0,,5,61.64732094,-20.854558,0.0016383268640888,0.0012402902886018
BD-213153,BD-213153,8,0,,29,161.85618564689656,-22.286574827586204,0.0014919295989139,0.0009731525379243
BD-214352,BD-214352,8,0,,6,246.30342485666665,-21.937025,0.0031259683994221,0.0014961517302746
BD-215811,BD-215811,8,0,,12,311.0047046716667,-21.356525833333333,0.0021470534806799,0.0015291141721643
BD-21784,BD-21784,8,0,,2,61.64271805,-20.85392,0.000219203102167,0.0007212489168093
BD-223528,BD-223528,8,0,,8,198.08616281,-23.334233750000003,0.0023604753038803,0.0014679814858697
BD-226219,BD-226219,8,0,,3,358.69251925333333,-21.77279,0.0019432915937131,0.0012230699080592
BD07+2411B,BD07+2411B,8,0,,4,166.53005701249998,7.0303375,0.0043455791751284,0.0012747385352822
BD184914,BD184914,8,0,,1,330.66118611,18.9005,0.0042,0.0042
BD225877,BD225877,8,0,,1,333.66143805,-21.69838,0.0042,0.0042
BETA-AQL,BET AQL,103,0,,135,298.8237913994815,6.403850888888889,0.0006892797855275,0.0011451594861662
BET-ARA,BET ARA,103,0,,8,261.32508870875,-55.52990375,0.004310048915202,0.0016474650440678
BETCEN,BET CEN,103,0,,800,210.95455127535,-60.3754646,0.0017302716458603,0.0014631276493054
BET-CEN,BET CEN,103,0,,80,210.95774280487495,-60.374419875,0.0009898673488218,0.0002746712361626
BETCRT,BET CRT,103,0,,7,167.9151586857143,-22.827048571428573,0.0010567987787071,0.0018429815388058
BET-CRU,BET CRU,103,0,,28,191.9308216732143,-59.68943821428572,0.0001812223193703,7.175336210413262e-05
BET-DOR,BET DOR,103,0,,24,83.40404709166667,-62.49077416666666,0.0014653390939918,0.000342470775234
BET DOR,BET DOR,103,0,,92,83.4089286252174,-62.49315652173913,0.0033450809490761,0.0011091541523147
BETA-DOR,BET DOR,103,0,,46,83.41383451826087,-62.48970456521739,0.0016010967588478,0.0003427840688755
BET-GEM,BET GEM,103,0,,2,116.321257495,28.023855,6.286179287366739e-06,4.949747468369661e-05
BET-GRU,BET GRU,103,0,,32,340.6671673059375,-46.8856096875,0.0002294170445066,0.0013754072344169
BET-HYI,BET HYI,103,0,,12,6.467584069166667,-77.252965,0.0053736881454923,0.0011210668620012
BETA-HYI,BET HYI,103,0,,2766,6.458459550907448,-77.25243827187275,0.0095558164328289,0.0030068910571968
BETHYI,BET HYI,103,0,,6,6.450895181666667,-77.25476666666667,0.0015161430478078,0.0001237201142346
BET-IND,BET IND,103,0,,8,313.70170364125,-58.45467875,0.001655915832226,0.0007780091350922
BET-MUS,BET MUS,103,0,,3,191.56749036666668,-68.10802666666666,8.498004256683943e-05,5.773502690652106e-05
BET-PAV,BET PAV,103,0,,12,311.23410485666665,-66.20338416666667,0.0008025920976614,0.0001943968917303
BETA-PAV,BET PAV,103,0,,27,311.2416998825926,-66.20287407407407,0.0051169383410367,0.0010577525494306
BET-PHE,BET PHE,103,0,,40,16.5213599405,-46.71947725,0.0012961182736493,0.0008322813488195
BET-PIC,BET PIC,103,0,,28,86.81956261535716,-51.06715071428572,0.0014181362683748,0.0004524659068113
BETA-PIC,BET PIC,103,0,,223,86.82031386112108,-51.06778609865471,0.0028391563754775,0.0013205788142488
BETA PIC,BET PIC,103,0,,209,86.82393547827752,-51.06771741626794,0.0014964845702002,0.0016438027628065
BETA_PIC,BET PIC,103,0,,104,86.8224919835577,-51.06725471153846,0.0018204853871907,0.0013081076205934
BET-RET,BET RET,103,0,,4,56.045734995,-64.8075,0.0002856611471057,6.377042156117779e-05
BETA_SCO,BET SCO,103,0,,5,241.35929055000005,-19.806558000000003,0.0013196700044734,0.0016520199756662
BETA-SCO,BET SCO,103,0,,2,241.364051525,-19.808495,0.000129435896309,0.0003889087296516
BETASCO,BET SCO,103,0,,40,241.3601091835,-19.80479775,0.0019750090755081,0.0012966890529339
BETA-VIR,BET VIR,103,0,,6,177.67534004333334,1.7664350000000002,0.000258125946596,5.856620185736329e-05
BETA VIR,BET VIR,103,0,,171,177.67129184321638,1.7603680116959062,0.0008012740506264,0.0005427247378171
BET-VOL,BET VOL,103,0,,4,126.42480951,-66.1382675,0.0001084778450528,3.862210075126963e-05
GC-BFOPH,BFOPH,0,-100000,,2,256.523383055,-26.57776,0.0001103864396353,0.0001131370849868
CD--37-11237,CD 37-11237,25,0,,2,256.20032097,-37.95635,7.208246529956886e-05,0.0006788225099359
CD_CIR,CD CIR,25,0,,1,206.62930194,-64.67574,0.0042,0.0042
CD-TAU,CD TAU,25,0,,5,79.379928938,20.12991,0.0023884687353595,0.0024145082315034
CD-23 12010,CD-23 12010,25,0,,11,225.0785121936364,-24.45845545454545,0.0014202555648135,0.0019108917480403
CD-23 9305,CD-23 9305,25,0,,7,157.07076698,-24.26494285714286,0.0013686776503912,0.0029599533458358
CD-231087,CD-231087,25,0,,35,195.8644667662857,-24.42046942857143,0.0029405842162234,0.0013898665675632
CD-24 17223,CD-24 17223,25,0,,4,338.4663272175,-23.8641175,0.0017578902718858,0.0018887451742716
CD-2412897,CD-2412897,25,0,,2,253.10215055,-24.70401,6.717514420389854e-05,5.656854249278225e-05
CD-24_17223,CD-24_17223,25,0,,8,338.464869195,-23.86448625,0.0008657478266329,0.0014488708657824
CD-25_2913,CD-25_2913,25,0,,1,91.333675,-25.09376,0.0042,0.0042
CD-2616866,CD-2616866,25,0,,2,0.039187495,-25.32414,0.0026524353179766,0.001074802307403
CD-2616866B,CD-2616866B,25,0,,2,0.038802495,-25.324235,0.0034526397779742,0.0041507168055649
CD-292360,CD-292360,25,0,,32,83.7470439728125,-29.9028471875,0.0029062606207691,0.0021305719879801
CD-30 2584,CD-30 2584,25,0,,2,86.03186958,-30.12349,0.00046178315452,0.0001272792206137
CD-3112467B,CD-3112467B,25,0,,3,240.2555999,-32.306963333333336,0.0003500678808434,0.0010257355084648
CD-32 1952,CD-32 1952,25,0,,17,70.99909279176471,-31.90901823529412,0.0011573516952939,0.003394227149319
