original_name,correct_name
Gl 1,GJ 1
Gl 2,GJ 2
Gl 3,GJ 3
Gl 4A,GJ 4A
Gl 4B,GJ 4B
Gl 4.1A,GJ 4.1A
Gl 4.1B,GJ 4.1B
Gl 4.2A,GJ 4.2A
Gl 4.2B,GJ 4.2B
Gl 5,GJ 5
Gl 6,GJ 6
Gl 7,GJ 7
Gl 8,GJ 8
Gl 9.1,GJ 9.1
Gl 10,GJ 10
Gl 10.1,GJ 10.1
Gl 11A,GJ 11A
Gl 11B,GJ 11B
Gl 12,GJ 12
Gl 13,GJ 13
Gl 14,GJ 14
Gl 15A,GJ 15A
Gl 15B,GJ 15B
Gl 16,GJ 16
Gl 16.1,GJ 16.1
Gl 17,GJ 17
Gl 17.1,GJ 17.1
Gl 17.2,GJ 17.2
Gl 17.3,GJ 17.3
Gl 18,GJ 18
Gl 19,GJ 19
Gl 20,GJ 20
Gl 21,GJ 21
Gl 22AC,GJ 22AC
Gl 22B,GJ 22B
Gl 22.2,GJ 22.2
Gl 23A,GJ 23A
Gl 23B,GJ 23B
Gl 24B,GJ 24B
Gl 24A,GJ 24A
Gl 25A,GJ 25A
Gl 25B,GJ 25B
Gl 26,GJ 26
Gl 27,GJ 27
Gl 27.1,GJ 27.1
Gl 27.2,GJ 27.2
Gl 28,GJ 28
Gl 29,GJ 29
Gl 29.1,GJ 29.1
Gl 30,GJ 30
Gl 31,GJ 31
Gl 31.2A,GJ 31.2A
Gl 31.2B,GJ 31.2B
Gl 31.3,GJ 31.3
Gl 31.4,GJ 31.4
Gl 31.5,GJ 31.5
Gl 32A,GJ 32A
Gl 32B,GJ 32B
Gl 33,GJ 33
Gl 34A,GJ 34A
Gl 34B,GJ 34B
Gl 34.1,GJ 34.1
Gl 35,GJ 35
Gl 36,GJ 36
Gl 37,GJ 37
Gl 38,GJ 38
Gl 39,GJ 39
Gl 40A,GJ 40A
Gl 40B,GJ 40B
Gl 41,GJ 41
Gl 42,GJ 42
Gl 42.1,GJ 42.1
Gl 43,GJ 43
Gl 44,GJ 44
Gl 45,GJ 45
Gl 46,GJ 46
Gl 46.1,GJ 46.1
Gl 47,GJ 47
Gl 48,GJ 48
Gl 49,GJ 49
Gl 50,GJ 50
Gl 51,GJ 51
Gl 52,GJ 52
Gl 52.1,GJ 52.1
Gl 52.2,GJ 52.2
Gl 53A,GJ 53A
Gl 53B,GJ 53B
Gl 53.1A,GJ 53.1A
Gl 53.1B,GJ 53.1B
Gl 53.2,GJ 53.2
Gl 53.3,GJ 53.3
Gl 54,GJ 54
Gl 54.1,GJ 54.1
Gl 54.2B,GJ 54.2B
Gl 54.2A,GJ 54.2A
Gl 54.3,GJ 54.3
Gl 55,GJ 55
Gl 55.1A,GJ 55.1A
Gl 55.1B,GJ 55.1B
Gl 55.2,GJ 55.2
Gl 55.3A,GJ 55.3A
Gl 55.3B,GJ 55.3B
Gl 56,GJ 56
Gl 56.1,GJ 56.1
Gl 56.2,GJ 56.2
Gl 56.3A,GJ 56.3A
Gl 56.3B,GJ 56.3B
Gl 56.4,GJ 56.4
Gl 56.5,GJ 56.5
Gl 57,GJ 57
Gl 57.1B,GJ 57.1B
Gl 57.1C,GJ 57.1C
Gl 57.1A,GJ 57.1A
Gl 58.2,GJ 58.2
Gl 59B,GJ 59B
Gl 59A,GJ 59A
Gl 59.1,GJ 59.1
Gl 60A,GJ 60A
Gl 60B,GJ 60B
Gl 60C,GJ 60C
Gl 61,GJ 61
Gl 62,GJ 62
Gl 63,GJ 63
Gl 64,GJ 64
Gl 65A,GJ 65A
Gl 65B,GJ 65B
Gl 65.2,GJ 65.2
Gl 66A,GJ 66A
Gl 66B,GJ 66B
Gl 67,GJ 67
Gl 67.1,GJ 67.1
Gl 67.2,GJ 67.2
Gl 68,GJ 68
Gl 69,GJ 69
Gl 70,GJ 70
Gl 71,GJ 71
Gl 73,GJ 73
Gl 74,GJ 74
Gl 75,GJ 75
Gl 76,GJ 76
Gl 77,GJ 77
Gl 78,GJ 78
Gl 78.1,GJ 78.1
Gl 79,GJ 79
Gl 80,GJ 80
Gl 81A,GJ 81A
Gl 81B,GJ 81B
Gl 81.1A,GJ 81.1A
Gl 81.1B,GJ 81.1B
Gl 81.2,GJ 81.2
Gl 81.3,GJ 81.3
Gl 82,GJ 82
Gl 82.1,GJ 82.1
Gl 83,GJ 83
Gl 83.1,GJ 83.1
Gl 83.4A,GJ 83.4A
Gl 83.4B,GJ 83.4B
Gl 84,GJ 84
Gl 84.1B,GJ 84.1B
Gl 84.1A,GJ 84.1A
Gl 84.2A,GJ 84.2A
Gl 84.2B,GJ 84.2B
Gl 84.3,GJ 84.3
Gl 85,GJ 85
Gl 85.1,GJ 85.1
Gl 86,GJ 86
Gl 87,GJ 87
Gl 87.1A,GJ 87.1A
Gl 87.1B,GJ 87.1B
Gl 88,GJ 88
Gl 89,GJ 89
Gl 90,GJ 90
Gl 91,GJ 91
Gl 91.2A,GJ 91.2A
Gl 91.2B,GJ 91.2B
Gl 91.3,GJ 91.3
Gl 92,GJ 92
Gl 92.1,GJ 92.1
Gl 92.2,GJ 92.2
Gl 93,GJ 93
Gl 94,GJ 94
Gl 95,GJ 95
Gl 96,GJ 96
Gl 97,GJ 97
Gl 97.1,GJ 97.1
Gl 98A,GJ 98A
Gl 98B,GJ 98B
Gl 99A,GJ 99A
Gl 99B,GJ 99B
Gl 99.1,GJ 99.1
Gl 100A,GJ 100A
Gl 100B,GJ 100B
Gl 100C,GJ 100C
Gl 100.1,GJ 100.1
Gl 101,GJ 101
Gl 101.1,GJ 101.1
Gl 102,GJ 102
Gl 103,GJ 103
Gl 104,GJ 104
Gl 105A,GJ 105A
Gl 105B,GJ 105B
Gl 105.1,GJ 105.1
Gl 105.3,GJ 105.3
Gl 105.4A,GJ 105.4A
Gl 105.4B,GJ 105.4B
Gl 105.5,GJ 105.5
Gl 105.6,GJ 105.6
Gl 106,GJ 106
Gl 106.1C,GJ 106.1C
Gl 106.1A,GJ 106.1A
Gl 106.1B,GJ 106.1B
Gl 107A,GJ 107A
Gl 107B,GJ 107B
Gl 108,GJ 108
Gl 109,GJ 109
Gl 111,GJ 111
Gl 112,GJ 112
Gl 112.1,GJ 112.1
Gl 113AB,GJ 113AB
Gl 113C,GJ 113C
Gl 113.1,GJ 113.1
Gl 114,GJ 114
Gl 114.1A,GJ 114.1A
Gl 115,GJ 115
Gl 116,GJ 116
Gl 117,GJ 117
Gl 118,GJ 118
Gl 118.1B,GJ 118.1B
Gl 118.1A,GJ 118.1A
Gl 118.2A,GJ 118.2A
Gl 118.2B,GJ 118.2B
Gl 118.2C,GJ 118.2C
Gl 119B,GJ 119B
Gl 119A,GJ 119A
Gl 120,GJ 120
Gl 120.1C,GJ 120.1C
Gl 120.1A,GJ 120.1A
Gl 120.1B,GJ 120.1B
Gl 120.2,GJ 120.2
Gl 121,GJ 121
Gl 121.1,GJ 121.1
Gl 121.2,GJ 121.2
Gl 122,GJ 122
Gl 123,GJ 123
Gl 124,GJ 124
Gl 125,GJ 125
Gl 126,GJ 126
Gl 127A,GJ 127A
Gl 127B,GJ 127B
Gl 127.1A,GJ 127.1A
Gl 127.1B,GJ 127.1B
Gl 128A,GJ 128A
Gl 128B,GJ 128B
Gl 130,GJ 130
Gl 130.1A,GJ 130.1A
Gl 130.1B,GJ 130.1B
Gl 131,GJ 131
Gl 132,GJ 132
Gl 133,GJ 133
Gl 134,GJ 134
Gl 135,GJ 135
Gl 136,GJ 136
Gl 137,GJ 137
Gl 138,GJ 138
Gl 138.1B,GJ 138.1B
Gl 138.1A,GJ 138.1A
Gl 139,GJ 139
Gl 140A,GJ 140A
Gl 140B,GJ 140B
Gl 140C,GJ 140C
Gl 140.1B,GJ 140.1B
Gl 140.1A,GJ 140.1A
Gl 141,GJ 141
Gl 141.2,GJ 141.2
Gl 142,GJ 142
Gl 143,GJ 143
Gl 143.1,GJ 143.1
Gl 143.2B,GJ 143.2B
Gl 143.2A,GJ 143.2A
Gl 143.3,GJ 143.3
Gl 144,GJ 144
Gl 145,GJ 145
Gl 146,GJ 146
Gl 147,GJ 147
Gl 147.1,GJ 147.1
Gl 148,GJ 148
Gl 149B,GJ 149B
Gl 149A,GJ 149A
Gl 150,GJ 150
Gl 150.1B,GJ 150.1B
Gl 150.1A,GJ 150.1A
Gl 150.2,GJ 150.2
Gl 151,GJ 151
Gl 152,GJ 152
Gl 153B,GJ 153B
Gl 153C,GJ 153C
Gl 153A,GJ 153A
Gl 154,GJ 154
Gl 154.1A,GJ 154.1A
Gl 154.1B,GJ 154.1B
Gl 154.2,GJ 154.2
Gl 155,GJ 155
Gl 155.1,GJ 155.1
Gl 155.2,GJ 155.2
Gl 155.3,GJ 155.3
Gl 156,GJ 156
Gl 156.1A,GJ 156.1A
Gl 156.2,GJ 156.2
Gl 157A,GJ 157A
Gl 157B,GJ 157B
Gl 157.1,GJ 157.1
Gl 158,GJ 158
Gl 159,GJ 159
Gl 160,GJ 160
Gl 160.2,GJ 160.2
Gl 161,GJ 161
Gl 161.1,GJ 161.1
Gl 161.2,GJ 161.2
Gl 162,GJ 162
Gl 162.1,GJ 162.1
Gl 163,GJ 163
Gl 164,GJ 164
Gl 165AB,GJ 165AB
Gl 165.1,GJ 165.1
Gl 165.2,GJ 165.2
Gl 166A,GJ 166A
Gl 166B,GJ 166B
Gl 166C,GJ 166C
Gl 167,GJ 167
Gl 167.1,GJ 167.1
Gl 167.2,GJ 167.2
Gl 167.3,GJ 167.3
Gl 168.1,GJ 168.1
Gl 168.2,GJ 168.2
Gl 169,GJ 169
Gl 169.1A,GJ 169.1A
Gl 169.1B,GJ 169.1B
Gl 170,GJ 170
Gl 170.1,GJ 170.1
Gl 171,GJ 171
Gl 171.1A,GJ 171.1A
Gl 171.1B,GJ 171.1B
Gl 171.2B,GJ 171.2B
Gl 171.2A,GJ 171.2A
Gl 172,GJ 172
Gl 173,GJ 173
Gl 173.1B,GJ 173.1B
Gl 173.1A,GJ 173.1A
Gl 174,GJ 174
Gl 174.1A,GJ 174.1A
Gl 174.1B,GJ 174.1B
Gl 175A,GJ 175A
Gl 175B,GJ 175B
Gl 176,GJ 176
Gl 176.1,GJ 176.1
Gl 176.2,GJ 176.2
Gl 176.3,GJ 176.3
Gl 177,GJ 177
Gl 178,GJ 178
Gl 179,GJ 179
Gl 180,GJ 180
Gl 181,GJ 181
Gl 181.1,GJ 181.1
Gl 182,GJ 182
Gl 183,GJ 183
Gl 184,GJ 184
Gl 185A,GJ 185A
Gl 185B,GJ 185B
Gl 186,GJ 186
Gl 186.1A,GJ 186.1A
Gl 186.1B,GJ 186.1B
Gl 187,GJ 187
Gl 187.1,GJ 187.1
Gl 187.2A,GJ 187.2A
Gl 188A,GJ 188A
Gl 188B,GJ 188B
Gl 189,GJ 189
Gl 189.2,GJ 189.2
Gl 190,GJ 190
Gl 191,GJ 191
Gl 192,GJ 192
Gl 193,GJ 193
Gl 194A,GJ 194A
Gl 194B,GJ 194B
Gl 195A,GJ 195A
Gl 195B,GJ 195B
Gl 196,GJ 196
Gl 197,GJ 197
Gl 198,GJ 198
Gl 199A,GJ 199A
Gl 199B,GJ 199B
Gl 200A,GJ 200A
Gl 200B,GJ 200B
Gl 200.1,GJ 200.1
Gl 201,GJ 201
Gl 202,GJ 202
Gl 203,GJ 203
Gl 204,GJ 204
Gl 204.1,GJ 204.1
Gl 204.2,GJ 204.2
Gl 205,GJ 205
Gl 206,GJ 206
Gl 207,GJ 207
Gl 207.1,GJ 207.1
Gl 208,GJ 208
Gl 209,GJ 209
Gl 209.1,GJ 209.1
Gl 210,GJ 210
Gl 211,GJ 211
Gl 212,GJ 212
Gl 213,GJ 213
Gl 215,GJ 215
Gl 216A,GJ 216A
Gl 216B,GJ 216B
Gl 217,GJ 217
Gl 217.1,GJ 217.1
Gl 217.2,GJ 217.2
Gl 218,GJ 218
Gl 219,GJ 219
Gl 220,GJ 220
Gl 221,GJ 221
Gl 222AB,GJ 222AB
Gl 223,GJ 223
Gl 223.1,GJ 223.1
Gl 223.2,GJ 223.2
Gl 224,GJ 224
Gl 224.1,GJ 224.1
Gl 225,GJ 225
Gl 225.1,GJ 225.1
Gl 225.2A,GJ 225.2A
Gl 225.2B,GJ 225.2B
Gl 225.2C,GJ 225.2C
Gl 226,GJ 226
Gl 226.1,GJ 226.1
Gl 226.2,GJ 226.2
Gl 226.3,GJ 226.3
Gl 227,GJ 227
Gl 228A,GJ 228A
Gl 228B,GJ 228B
Gl 229,GJ 229
Gl 230,GJ 230
Gl 231,GJ 231
Gl 231.1B,GJ 231.1B
Gl 231.1A,GJ 231.1A
Gl 231.3,GJ 231.3
Gl 232,GJ 232
Gl 233AB,GJ 233AB
Gl 234A,GJ 234A
Gl 234B,GJ 234B
Gl 236,GJ 236
Gl 237,GJ 237
Gl 238,GJ 238
Gl 239,GJ 239
Gl 239.1,GJ 239.1
Gl 240,GJ 240
Gl 240.1,GJ 240.1
Gl 241,GJ 241
Gl 242,GJ 242
Gl 243,GJ 243
Gl 244A,GJ 244A
Gl 244B,GJ 244B
Gl 245,GJ 245
Gl 245.1,GJ 245.1
Gl 246,GJ 246
Gl 247,GJ 247
Gl 248,GJ 248
Gl 249,GJ 249
Gl 249.1,GJ 249.1
Gl 250A,GJ 250A
Gl 250B,GJ 250B
Gl 251,GJ 251
Gl 251.1,GJ 251.1
Gl 252,GJ 252
Gl 253,GJ 253
Gl 254,GJ 254
Gl 255A,GJ 255A
Gl 255B,GJ 255B
Gl 256,GJ 256
Gl 257A,GJ 257A
Gl 257B,GJ 257B
Gl 257.1,GJ 257.1
Gl 258,GJ 258
Gl 259,GJ 259
Gl 260,GJ 260
Gl 261,GJ 261
Gl 262,GJ 262
Gl 263,GJ 263
Gl 264,GJ 264
Gl 264.1A,GJ 264.1A
Gl 264.1B,GJ 264.1B
Gl 265A,GJ 265A
Gl 266,GJ 266
Gl 268,GJ 268
Gl 268.1,GJ 268.1
Gl 268.2,GJ 268.2
Gl 268.3,GJ 268.3
Gl 268.4,GJ 268.4
Gl 268.5,GJ 268.5
Gl 269A,GJ 269A
Gl 269B,GJ 269B
Gl 270,GJ 270
Gl 271A,GJ 271A
Gl 271B,GJ 271B
Gl 272,GJ 272
Gl 273,GJ 273
Gl 273.1,GJ 273.1
Gl 274A,GJ 274A
Gl 274B,GJ 274B
Gl 275,GJ 275
Gl 275.1,GJ 275.1
Gl 275.2B,GJ 275.2B
Gl 275.2A,GJ 275.2A
Gl 276,GJ 276
Gl 277B,GJ 277B
Gl 277A,GJ 277A
Gl 277.1,GJ 277.1
Gl 278A,GJ 278A
Gl 278B,GJ 278B
Gl 278C,GJ 278C
Gl 279,GJ 279
Gl 280A,GJ 280A
Gl 280B,GJ 280B
Gl 281,GJ 281
Gl 282A,GJ 282A
Gl 282B,GJ 282B
Gl 283A,GJ 283A
Gl 283B,GJ 283B
Gl 284,GJ 284
Gl 285,GJ 285
Gl 285.1,GJ 285.1
Gl 286,GJ 286
Gl 287,GJ 287
Gl 288A,GJ 288A
Gl 288B,GJ 288B
Gl 289,GJ 289
Gl 290,GJ 290
Gl 291A,GJ 291A
Gl 291B,GJ 291B
Gl 291.1,GJ 291.1
Gl 292A,GJ 292A
Gl 292B,GJ 292B
Gl 292.1,GJ 292.1
Gl 292.2,GJ 292.2
Gl 293,GJ 293
Gl 293.1A,GJ 293.1A
Gl 293.1B,GJ 293.1B
Gl 293.2,GJ 293.2
Gl 294B,GJ 294B
Gl 294C,GJ 294C
Gl 294A,GJ 294A
Gl 295,GJ 295
Gl 295.1,GJ 295.1
Gl 296,GJ 296
Gl 296.1,GJ 296.1
Gl 296.2,GJ 296.2
Gl 297.1,GJ 297.1
Gl 297.2A,GJ 297.2A
Gl 297.2B,GJ 297.2B
Gl 298,GJ 298
Gl 299,GJ 299
Gl 300,GJ 300
Gl 301A,GJ 301A
Gl 301B,GJ 301B
Gl 301.1,GJ 301.1
Gl 302,GJ 302
Gl 303,GJ 303
Gl 304,GJ 304
Gl 305,GJ 305
Gl 305.1,GJ 305.1
Gl 306,GJ 306
Gl 306.1,GJ 306.1
Gl 307.1,GJ 307.1
Gl 308A,GJ 308A
Gl 308B,GJ 308B
Gl 308.1,GJ 308.1
Gl 308.3,GJ 308.3
Gl 309,GJ 309
Gl 310,GJ 310
Gl 310.1A,GJ 310.1A
Gl 310.1B,GJ 310.1B
Gl 311,GJ 311
Gl 312,GJ 312
Gl 314A,GJ 314A
Gl 314B,GJ 314B
Gl 315,GJ 315
Gl 316,GJ 316
Gl 316.1,GJ 316.1
Gl 317,GJ 317
Gl 318,GJ 318
Gl 318.1,GJ 318.1
Gl 319C,GJ 319C
Gl 319A,GJ 319A
Gl 319B,GJ 319B
Gl 319.1B,GJ 319.1B
Gl 319.1A,GJ 319.1A
Gl 320,GJ 320
Gl 321,GJ 321
Gl 321.1,GJ 321.1
Gl 321.2,GJ 321.2
Gl 321.3A,GJ 321.3A
Gl 321.3B,GJ 321.3B
Gl 321.3C,GJ 321.3C
Gl 321.3D,GJ 321.3D
Gl 322,GJ 322
Gl 323A,GJ 323A
Gl 323B,GJ 323B
Gl 324A,GJ 324A
Gl 324B,GJ 324B
Gl 325A,GJ 325A
