name,N_obs
HIP 88601,1797
HIP 48331,1250
HIP 76074,536
HIP 70890,445
HIP 47780,402
HIP 5643,334
HIP 36208,317
HIP 57548,304
HIP 113020,270
HIP 85523,254
HIP 74995,251
HIP 114046,228
HIP 19394,213
HIP 10037,206
HIP 29295,199
HIP 68469,195
HIP 83599,193
HIP 57087,192
HIP 80824,191
HIP 86990,184
HIP 106440,183
HIP 9786,182
HIP 51317,179
HIP 102409,178
HIP 10279,172
HIP 65859,159
HIP 49986,158
HIP 103039,156
HIP 88574,154
HIP 94761,153
HIP 85665,150
HIP 113296,140
HIP 85647,138
HIP 26857,125
HIP 27803,121
HIP 21932,117
HIP 92403,116
HIP 102040,115
HIP 83941,115
HIP 103572,114
HIP 40501,110
Gaia DR3 3220926542276901888,109
HIP 10337,106
HIP 25878,103
HIP 63833,101
HIP 47513,101
HIP 105090,99
HIP 28754,89
HIP 117473,87
HIP 56528,86
HIP 22762,85
HIP 113201,84
HIP 102186,81
HIP 80587,80
HIP 14813,80
HIP 109388,75
HIP 57172,74
HIP 68570,68
HIP 439,67
HIP 87937,65
HIP 6365,65
HIP 10617,64
HIP 93101,61
HIP 55042,60
HIP 70849,60
HIP 61629,58
HIP 84478,57
HIP 30256,57
HIP 45908,57
HIP 14101,56
HIP 108782,55
HIP 47103,53
HIP 3143,51
HIP 113229,50
HIP 12961,49
HIP 115211,49
HIP 84212,48
HIP 90979,48
HIP 51007,48
HIP 48336,46
HIP 9603,46
HIP 25283,45
HIP 13218,44
HIP 47619,44
HIP 87322,43
HIP 5812,43
HIP 99701,42
HIP 1608,41
HIP 86057,40
HIP 41802,40
HIP 55955,38
HIP 47425,38
HIP 36985,38
HIP 61706,37
HIP 110534,36
HIP 95903,36
HIP 107133,36
HIP 23708,35
HIP 81084,34
HIP 7554,33
HIP 37978,33
HIP 67155,32
HIP 109084,32
HIP 24186,31
HIP 54227,31
HIP 116003,31
HIP 84652,31
HIP 102235,30
HIP 106803,30
HIP 80817,29
HIP 23200,29
HIP 114411,28
HIP 18180,28
HIP 81165,28
HIP 10688,28
HIP 112312,28
HIP 79636,28
HIP 47225,28
HIP 10812,27
HIP 91608,27
HIP 44722,27
HIP 59406,26
HIP 10395,26
HIP 72944,25
HIP 51073,25
HIP 48594,25
HIP 116645,24
HIP 76362,24
HIP 78353,24
HIP 65924,24
HIP 80053,24
HIP 4328,24
HIP 107772,23
HIP 22627,23
HIP 31292,23
HIP 80268,23
HIP 49889,23
HIP 72981,23
HIP 8768,22
HIP 111571,22
HIP 91287,22
HIP 57459,22
HIP 65362,22
HIP 26335,21
HIP 80018,21
HIP 31878,21
HIP 92451,21
HIP 61872,21
HIP 86214,21
HIP 60559,20
HIP 30920,20
HIP 13389,20
HIP 86287,20
HIP 52296,20
HIP 23309,20
HIP 14731,20
Gaia DR3 5398663566249861120,19
HIP 93206,19
HIP 103800,19
HIP 54966,19
HIP 93449,18
HIP 115955,18
HIP 98105,18
HIP 67164,18
HIP 54532,18
HIP 87607,18
HIP 36349,17
HIP 85126,17
HIP 4468,17
HIP 108930,17
HIP 38594,17
HIP 29322,17
HIP 1993,17
HIP 110245,17
HIP 82256,17
Gaia DR3 2962658549474035584,16
HIP 44376,16
HIP 6351,16
HIP 31862,16
HIP 73362,16
HIP 21556,16
HIP 62471,15
HIP 6097,15
HIP 10191,15
HIP 116384,15
HIP 34785,15
HIP 84123,15
HIP 9749,14
HIP 17743,14
HIP 17695,14
